Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Int,Match URL,Season,Touches,Tkl,Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,SCA SCA,SCA GCA,1/3,Gls_per90,Ast_per90,Sh_per90,SoT_per90,PosGroup,Def_Action_Rate,Creativity_Index,Composite_Score,Composite_Score_roll3
2017-10-01,La Liga,Espanyol,Achraf Hakimi,19.0,ma MAR,RB,18-331,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/b40add9c/Real-Madrid-Espanyol-October-1-2017-La-Liga,2017.0,68.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,62.0,85.5,5.0,49.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,3.0,3.0,0.0,53.0,62.0,85.5,797.0,186.0,38.0,39.0,97.4,11.0,15.0,73.3,4.0,7.0,57.1,0.0,0.0,0.0,3.0,0.0,0.0,5.0,,,,0.0,0.0,0.0,0.0,DF,6.0,0.0,0.0,0.0
2017-10-14,La Liga,Getafe,Achraf Hakimi,19.0,ma MAR,RB,18-344,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,https://fbref.com/en/matches/a7bd3118/Getafe-Real-Madrid-October-14-2017-La-Liga,2017.0,65.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,43.0,56.0,76.8,4.0,40.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,7.0,3.0,0.0,43.0,56.0,76.8,524.0,158.0,33.0,37.0,89.2,9.0,16.0,56.3,1.0,1.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,,,,0.0,0.0,0.0,0.0,DF,10.0,1.0,0.0,0.0
2017-10-17,Champions League,Tottenham Hotspur,Achraf Hakimi,19.0,ma MAR,RB,18-347,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,2017.0,89.0,2.0,1.0,0.0,0.0,0.1,4.0,0.0,65.0,80.0,81.3,3.0,60.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,65.0,80.0,81.3,805.0,260.0,50.0,51.0,98.0,12.0,16.0,75.0,2.0,8.0,25.0,0.1,0.2,1.0,0.0,2.0,0.0,3.0,,,,0.0,0.0,0.0,0.0,DF,3.0,1.1,0.0,0.0
2017-10-29,La Liga,Girona,Achraf Hakimi,19.0,ma MAR,RB,18-359,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,2017.0,33.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,28.0,75.0,1.0,18.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,3.0,1.0,21.0,28.0,75.0,326.0,109.0,10.0,13.0,76.9,9.0,11.0,81.8,1.0,3.0,33.3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,DF,4.153846153846154,1.3846153846153846,0.0,0.0
2017-11-01,Champions League,Tottenham Hotspur,Achraf Hakimi,19.0,ma MAR,"RB,WB",18-362,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,2017.0,76.0,1.0,2.0,0.0,0.0,0.2,4.0,0.0,52.0,63.0,82.5,5.0,49.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,52.0,63.0,82.5,828.0,285.0,25.0,27.0,92.6,23.0,27.0,85.2,3.0,7.0,42.9,0.2,0.2,4.0,2.0,2.0,1.0,5.0,,,,0.0,0.0,0.0,0.0,DF,4.0,4.2,0.0,0.0
2017-12-09,La Liga,Sevilla,Achraf Hakimi,19.0,ma MAR,RB,19-035,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,https://fbref.com/en/matches/cba3fd96/Real-Madrid-Sevilla-December-9-2017-La-Liga,2017.0,65.0,5.0,1.0,0.2,0.2,0.0,1.0,0.0,46.0,55.0,83.6,0.0,35.0,2.0,2.0,0.0,5.0,4.0,2.0,1.0,2.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,7.0,1.0,0.0,46.0,55.0,83.6,564.0,172.0,36.0,39.0,92.3,8.0,11.0,72.7,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,1.0,1.0,DF,8.0,0.0,0.7000000000000002,0.2333333333333334
2018-01-07,La Liga,Celta Vigo,Achraf Hakimi,19.0,ma MAR,RB,19-064,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/436885b1/Celta-Vigo-Real-Madrid-January-7-2018-La-Liga,2018.0,71.0,4.0,0.0,0.0,0.0,0.1,3.0,0.0,51.0,62.0,82.3,7.0,46.0,3.0,2.0,0.0,4.0,2.0,2.0,1.0,1.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,4.0,0.0,0.0,51.0,62.0,82.3,598.0,216.0,40.0,44.0,90.9,11.0,13.0,84.6,0.0,3.0,0.0,0.1,0.1,1.0,5.0,2.0,0.0,7.0,,,,0.0,0.0,0.0,0.0,DF,4.0,1.1,0.0,0.2333333333333334
2018-02-27,La Liga,Espanyol,Achraf Hakimi,19.0,ma MAR,RB,19-115,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,https://fbref.com/en/matches/86d52519/Espanyol-Real-Madrid-February-27-2018-La-Liga,2018.0,82.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,54.0,71.0,76.1,7.0,60.0,2.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,2.0,1.0,1.0,4.0,2.0,0.0,54.0,71.0,76.1,762.0,243.0,33.0,39.0,84.6,18.0,22.0,81.8,2.0,6.0,33.3,0.0,0.1,0.0,3.0,1.0,0.0,7.0,,,,0.0,0.0,1.0,1.0,DF,6.0,0.0,0.3000000000000001,0.3333333333333334
2018-03-31,La Liga,Las Palmas,Achraf Hakimi,19.0,ma MAR,RB,19-147,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/2acd74d6/Las-Palmas-Real-Madrid-March-31-2018-La-Liga,2018.0,37.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,30.0,33.0,90.9,2.0,31.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,30.0,33.0,90.9,306.0,108.0,25.0,27.0,92.6,4.0,4.0,100.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,0.0,0.0,0.0,0.0,DF,4.354838709677419,0.0,0.0,0.10000000000000003
2018-04-28,La Liga,Leganes,Achraf Hakimi,19.0,ma MAR,RB,19-175,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://fbref.com/en/matches/cc4b64e0/Real-Madrid-Leganes-April-28-2018-La-Liga,2018.0,71.0,2.0,0.0,0.0,0.0,0.2,3.0,0.0,48.0,61.0,78.7,3.0,56.0,9.0,8.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,48.0,61.0,78.7,652.0,227.0,27.0,29.0,93.1,15.0,19.0,78.9,3.0,8.0,37.5,0.2,0.3,2.0,3.0,2.0,2.0,3.0,,,,0.0,0.0,0.0,0.0,DF,5.0,2.2,0.0,0.10000000000000003
