Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL,Season, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,SCA SCA,SCA GCA, 1/3
8/23/15,La Liga,Sporting Gijon,Jesé,20,es ESP,FW,22-178,55,0,0,0,0,2,1,0,0,2,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,James Rodríguez,10,co COL,"FW,MF",24-042,35,0,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,Cristiano Ronaldo,7,pt POR,AM,30-199,90,0,0,0,0,10,4,0,0,0,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,Isco,22,es ESP,AM,23-124,70,0,0,0,0,3,1,0,0,2,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,Mateo Kovačić,16,hr CRO,MF,21-109,20,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,Gareth Bale,11,wls WAL,AM,26-038,90,0,0,0,0,4,1,0,0,1,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,Luka Modrić,19,hr CRO,DM,29-348,90,0,0,0,0,2,0,0,0,4,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,Toni Kroos,8,de GER,DM,25-231,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,Marcelo,12,br BRA,LB,27-103,90,0,0,0,0,2,0,0,0,2,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/15,La Liga,Sporting Gijon,Sergio Ramos,4,es ESP,CB,29-146,90,0,0,0,0,0,0,0,0,6,https://fbref.com/en/matches/b6736cc2/Sporting-Gijon-Real-Madrid-August-23-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
