Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL,Season, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,xA,KP,PPA,CrsPA,PrgP,Position_Group,Rebalanced_Score,Week
2017-08-20,La Liga,Deportivo La Coruna,Gareth Bale,11.0,wls WAL,FW,28-035,79.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,45.0,0.0,0.0,1.0,1.0,0.2,29.0,35.0,82.9,2.0,33.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,29.0,35.0,82.9,411.0,55.0,17.0,19.0,89.5,5.0,6.0,83.3,3.0,5.0,1.0,0.2,0.1,2.0,0.0,0.0,2.0,Forward,27.64473980309424,33
2017-08-20,La Liga,Deportivo La Coruna,Lucas Vázquez,17.0,es ESP,"FW,RM",26-050,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,6.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,100.0,49.0,19.0,5.0,5.0,100.0,0.0,0.0,82.82972972972973,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,Forward,0.0122222222222222,33
2017-08-20,La Liga,Deportivo La Coruna,Karim Benzema,9.0,fr FRA,FW,29-244,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,43.0,0.0,0.0,0.0,0.0,1.1,33.0,39.0,84.6,5.0,32.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,39.0,84.6,388.0,81.0,26.0,29.0,89.7,5.0,6.0,83.3,1.0,1.0,1.0,1.1,1.0,5.0,3.0,0.0,5.0,Forward,8.1,33
2017-08-20,La Liga,Deportivo La Coruna,Isco,22.0,es ESP,AM,25-121,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,81.0,1.0,0.0,0.0,0.0,0.0,59.0,73.0,80.8,6.0,62.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,59.0,73.0,80.8,752.0,141.0,41.0,43.0,95.3,14.0,22.0,63.6,3.0,5.0,0.0,0.0,0.2,0.0,3.0,0.0,6.0,Midfield,4.109145299145299,33
2017-08-20,La Liga,Deportivo La Coruna,Marco Asensio,20.0,es ESP,"AM,LM",21-211,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,22.0,0.0,0.0,0.1,0.1,0.0,18.0,22.0,81.8,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,81.8,219.0,48.0,11.0,12.0,91.7,4.0,5.0,80.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,Midfield,0.3877777777777772,33
2017-08-20,La Liga,Deportivo La Coruna,Toni Kroos,8.0,de GER,"LM,CM",27-228,90.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,98.0,3.0,0.0,0.3,0.3,0.0,74.0,87.0,85.1,12.0,62.0,3.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,74.0,87.0,85.1,1205.0,462.0,37.0,39.0,94.9,28.0,32.0,87.5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Midfield,7.719999999999998,33
2017-08-20,La Liga,Deportivo La Coruna,Casemiro,14.0,br BRA,CM,25-178,71.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,62.0,2.0,3.0,0.5,0.5,0.0,47.0,49.0,95.9,2.0,34.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,4.0,6.0,2.0,0.0,47.0,49.0,95.9,808.0,216.0,20.0,21.0,95.2,19.0,20.0,95.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Midfield,8.45607198748044,33
2017-08-20,La Liga,Deportivo La Coruna,Marcos Llorente,18.0,es ESP,"CM,DM",22-202,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,13.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,222.0,34.0,7.0,7.0,100.0,4.0,5.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Midfield,3.902163742690058,33
2017-08-20,La Liga,Deportivo La Coruna,Luka Modrić,10.0,hr CRO,"RM,CM",31-345,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,80.0,2.0,0.0,0.2,0.2,0.0,67.0,71.0,94.4,10.0,61.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,67.0,71.0,94.4,1123.0,350.0,33.0,35.0,94.3,24.0,25.0,96.0,7.0,7.0,0.0,0.0,0.2,0.0,1.0,0.0,10.0,Midfield,7.98,33
2017-08-20,La Liga,Deportivo La Coruna,Marcelo,12.0,br BRA,LB,29-100,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,96.0,4.0,0.0,0.1,0.1,0.5,71.0,86.0,82.6,9.0,56.0,8.0,4.0,1.0,4.0,2.0,1.0,3.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,71.0,86.0,82.6,1054.0,420.0,43.0,45.0,95.6,20.0,25.0,80.0,5.0,10.0,1.0,0.5,0.7,2.0,4.0,0.0,9.0,Defense,8.6,33
