Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
8/20/17,La Liga,Deportivo La Coruna,Gareth Bale,11,wls WAL,FW,28-035,79,1,1,0,0,4,2,0,0,2,45,0,0,1,1,0.2,2,1,29,35,82.9,2,33,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,29,35,82.9,411,55,17,19,89.5,5,6,83.3,3,5,60,1,0.2,0.1,2,2,0,0,2,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Lucas Vázquez,17,es ESP,"FW,RM",26-050,11,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,5,5,100,1,3,0,0,0,1,0,1,0,0,1,2,50,1,0,0,0,0,1,0,0,5,5,100,49,19,5,5,100,0,0,,0,0,,0,0,0.1,0,0,0,0,1,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Karim Benzema,9,fr FRA,FW,29-244,90,0,1,0,0,0,0,0,0,0,43,0,0,0,0,1.1,7,2,33,39,84.6,5,32,4,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,33,39,84.6,388,81,26,29,89.7,5,6,83.3,1,1,100,1,1.1,1,5,3,3,0,5,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Isco,22,es ESP,AM,25-121,65,0,0,0,0,0,0,0,0,1,81,1,0,0,0,0,2,1,59,73,80.8,6,62,5,5,3,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,59,73,80.8,752,141,41,43,95.3,14,22,63.6,3,5,60,0,0,0.2,0,6,3,0,6,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Marco Asensio,20,es ESP,"AM,LM",21-211,25,0,0,0,0,1,1,0,0,0,22,0,0,0.1,0.1,0,1,0,18,22,81.8,0,16,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,22,81.8,219,48,11,12,91.7,4,5,80,1,1,100,0,0,0.1,0,2,0,0,0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Toni Kroos,8,de GER,"LM,CM",27-228,90,1,0,0,0,5,2,0,0,1,98,3,0,0.3,0.3,0,3,0,74,87,85.1,12,62,3,1,1,3,3,3,0,0,2,5,40,3,0,0,0,1,4,1,0,74,87,85.1,1205,462,37,39,94.9,28,32,87.5,6,10,60,0,0,0,0,12,0,0,12,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Casemiro,14,br BRA,CM,25-178,71,1,0,0,0,1,1,0,0,4,62,2,3,0.5,0.5,0,3,0,47,49,95.9,2,34,1,0,0,2,0,2,0,0,1,1,100,0,3,1,2,4,6,2,0,47,49,95.9,808,216,20,21,95.2,19,20,95,5,5,100,0,0,0,1,2,0,0,2,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Marcos Llorente,18,es ESP,"CM,DM",22-202,19,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,13,92.3,1,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,13,92.3,222,34,7,7,100,4,5,80,1,1,100,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Luka Modrić,10,hr CRO,"RM,CM",31-345,90,0,0,0,0,3,1,1,0,2,80,2,0,0.2,0.2,0,2,1,67,71,94.4,10,61,4,1,1,2,2,1,1,0,2,3,66.7,1,0,0,0,2,4,0,0,67,71,94.4,1123,350,33,35,94.3,24,25,96,7,7,100,0,0,0.2,0,8,1,0,10,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Marcelo,12,br BRA,LB,29-100,90,0,1,0,0,2,1,0,0,2,96,4,0,0.1,0.1,0.5,5,1,71,86,82.6,9,56,8,4,1,4,2,1,3,0,2,4,50,2,0,0,0,2,6,1,0,71,86,82.6,1054,420,43,45,95.6,20,25,80,5,10,50,1,0.5,0.7,2,5,4,0,9,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Sergio Ramos,4,es ESP,CB,31-143,89,0,0,0,0,0,0,2,1,1,76,1,1,0,0,0,1,0,59,67,88.1,3,43,1,0,0,1,1,1,0,0,1,1,100,0,1,1,0,1,2,5,0,59,67,88.1,1101,530,24,26,92.3,28,29,96.6,7,10,70,0,0,0.1,1,6,1,0,3,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Nacho,6,es ESP,CB,27-214,90,0,0,0,0,0,0,0,0,2,49,2,1,0,0,0,0,0,34,41,82.9,0,28,2,0,0,2,1,2,0,0,0,0,,0,1,0,1,2,4,1,0,34,41,82.9,587,189,18,20,90,12,16,75,4,5,80,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Dani Carvajal,2,es ESP,RB,25-221,90,0,0,0,0,0,0,0,0,3,83,4,0,0,0,0,0,0,67,75,89.3,4,47,2,1,0,4,4,2,2,0,2,2,100,0,0,0,0,3,7,0,0,67,75,89.3,955,279,44,46,95.7,16,19,84.2,4,6,66.7,0,0,0,0,1,0,0,4,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/20/17,La Liga,Deportivo La Coruna,Keylor Navas,1,cr CRC,GK,30-248,90,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,21,25,84,0,13,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,25,84,550,392,4,4,100,11,11,100,6,10,60,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga
8/27/17,La Liga,Valencia,Karim Benzema,9,fr FRA,FW,29-251,90,0,0,0,0,8,2,0,0,1,37,0,0,2.6,2.6,0.1,2,0,20,25,80,1,27,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,20,25,80,288,39,12,16,75,6,6,100,2,3,66.7,0,0.1,0,2,2,0,0,1,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Marco Asensio,20,es ESP,"LW,LM",21-218,90,2,0,0,0,5,2,0,0,2,62,3,1,0.2,0.2,0.5,9,0,42,47,89.4,5,46,11,1,0,3,1,0,3,0,0,2,0,2,1,0,1,2,5,0,0,42,47,89.4,725,143,26,29,89.7,11,12,91.7,5,6,83.3,0,0.5,0.2,2,7,2,1,5,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Gareth Bale,11,wls WAL,RW,28-042,73,0,0,0,0,2,0,0,0,1,35,2,0,0.1,0.1,0.6,2,0,24,28,85.7,5,27,3,2,1,2,1,0,1,1,0,0,,0,0,0,0,1,3,0,0,24,28,85.7,326,79,16,17,94.1,8,9,88.9,0,2,0,0,0.6,0.5,2,3,1,0,5,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Lucas Vázquez,17,es ESP,"RW,RM",26-057,17,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,11,11,100,2,9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,11,11,100,164,78,6,6,100,5,5,100,0,0,,0,0,0.1,1,0,2,1,2,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Isco,22,es ESP,LM,25-128,45,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,34,36,94.4,2,34,4,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,36,94.4,608,70,20,20,100,10,10,100,4,5,80,0,0,0,0,6,0,0,2,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Mateo Kovačić,23,hr CRO,"CM,LM",23-113,45,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,2,1,31,32,96.9,2,31,3,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,32,96.9,652,203,7,7,100,21,22,95.5,3,3,100,0,0,0,1,3,1,0,2,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Toni Kroos,8,de GER,"CM,LM",27-235,83,0,0,0,0,0,0,0,0,1,90,2,2,0,0,0.3,6,1,72,86,83.7,12,58,2,1,1,2,2,1,1,0,0,0,,0,2,0,2,1,3,0,0,72,86,83.7,1532,478,25,27,92.6,30,33,90.9,17,26,65.4,0,0.3,0.2,2,10,1,1,12,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Borja Mayoral,21,es ESP,"FW,LM",20-144,7,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,2,100,1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,2,100,23,2,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Luka Modrić,10,hr CRO,"RM,CM",31-352,90,0,0,0,0,3,1,0,0,0,76,0,3,0.1,0.1,0,4,0,60,66,90.9,16,62,8,2,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,60,66,90.9,1080,398,31,33,93.9,23,25,92,6,8,75,0,0,0.1,1,8,3,0,16,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Marcelo,12,br BRA,LB,29-107,90,0,0,0,0,2,0,0,0,1,90,2,2,0.1,0.1,0.5,7,0,62,80,77.5,11,53,3,3,1,2,1,1,1,0,0,0,,0,2,0,2,1,3,0,0,62,80,77.5,1169,428,30,34,88.2,25,32,78.1,7,11,63.6,0,0.5,0.4,4,3,5,2,11,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
8/27/17,La Liga,Valencia,Nacho,6,es ESP,CB,27-221,90,0,0,0,0,0,0,1,0,1,53,0,0,0,0,0,1,0,47,51,92.2,3,35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,47,51,92.2,833,359,20,23,87,22,22,100,5,5,100,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga
