Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
8/19/18,La Liga,Getafe,Karim Benzema,9,fr FRA,FW,30-243,90,0,0,0,0,1,0,0,0,0,42,2,0,0.1,0.1,0.1,3,0,30,33,90.9,1,31,2,1,1,2,2,0,0,2,0,0,,0,0,0,0,0,2,1,0,30,33,90.9,345,48,27,28,96.4,2,3,66.7,1,1,100,0,0.1,0.1,1,3,0,0,1,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Marco Asensio,20,es ESP,LW,22-210,90,0,0,0,0,3,1,0,0,0,69,1,0,0.2,0.2,0,3,0,55,60,91.7,9,52,4,3,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,55,60,91.7,781,156,41,41,100,11,14,78.6,3,3,100,0,0,0.1,0,3,2,0,9,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Gareth Bale,11,wls WAL,RW,29-034,76,1,0,0,0,3,1,0,0,0,50,1,2,0.7,0.7,0,1,1,32,42,76.2,3,31,6,1,1,1,0,0,1,0,1,2,50,1,2,0,2,0,1,0,0,32,42,76.2,476,124,23,24,95.8,6,12,50,3,4,75,0,0,0,0,4,0,0,3,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Lucas Vázquez,17,es ESP,RW,27-049,14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,12,12,100,0,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,12,12,100,208,43,6,6,100,5,5,100,1,1,100,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Isco,22,es ESP,LM,26-120,57,0,0,0,0,0,0,0,0,0,63,3,1,0,0,0,0,0,49,55,89.1,5,52,0,2,1,3,1,2,0,1,1,3,33.3,2,1,0,1,0,3,0,0,49,55,89.1,779,199,34,38,89.5,11,11,100,4,5,80,0,0,0,0,7,0,0,5,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Casemiro,14,br BRA,CM,26-177,33,0,0,0,0,1,0,0,0,0,36,1,0,0,0,0,0,0,29,33,87.9,1,24,0,0,0,1,0,0,1,0,1,1,100,0,0,0,0,0,1,2,0,29,33,87.9,780,275,8,8,100,11,13,84.6,10,12,83.3,0,0,0,0,3,0,0,1,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Toni Kroos,8,de GER,"CM,LM",28-227,90,0,0,0,0,0,0,0,0,2,126,2,0,0,0,0,2,0,117,123,95.1,8,88,0,2,2,2,1,1,1,0,0,1,0,1,0,0,0,2,4,1,0,117,123,95.1,2432,673,44,45,97.8,53,55,96.4,19,21,90.5,0,0,0.1,1,6,1,0,8,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Dani Ceballos,24,es ESP,RM,22-012,70,0,0,0,0,0,0,0,0,0,67,1,1,0,0,0,2,0,61,64,95.3,6,51,3,3,2,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,61,64,95.3,929,206,38,38,100,20,20,100,3,3,100,0,0,0,1,5,2,0,6,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Luka Modrić,10,hr CRO,RM,32-344,20,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,13,17,76.5,1,15,0,1,1,1,1,0,1,0,0,0,,0,1,1,0,0,1,1,0,13,17,76.5,198,33,9,10,90,2,3,66.7,2,2,100,0,0,0,0,2,0,0,1,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Marcelo,12,br BRA,LB,30-099,90,0,0,0,0,0,0,1,0,0,131,3,1,0,0,0.3,5,1,98,120,81.7,16,89,2,7,3,3,3,1,1,1,1,3,33.3,2,1,0,1,0,3,0,0,98,120,81.7,1553,568,58,62,93.5,26,30,86.7,10,19,52.6,0,0.3,0.2,1,9,3,1,16,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
