Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Touches, Tkl, Int, Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
9/20/20,La Liga,Real Sociedad,Karim Benzema,9,fr FRA,FW,32-276,90,0,0,0,0,4,2,0,0,38,0,0,1,0.3,0.3,0.1,2,0,26,28,92.9,9,29,1,3,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,26,28,92.9,382,109,15,15,100,8,9,88.9,2,2,100,0,0.1,0.1,1,4,1,0,9,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Vinicius Júnior,20,br BRA,LW,20-070,89,0,0,0,0,2,0,0,0,52,1,0,1,0.1,0.1,0.1,1,0,40,42,95.2,3,44,4,5,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,40,42,95.2,512,72,25,26,96.2,11,12,91.7,1,1,100,0,0.1,0.2,1,0,2,0,3,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Sergio Arribas,30,es ESP,LW,18-356,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,100,0,3,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,2,100,14,6,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Rodrygo,27,br BRA,RW,19-255,69,0,0,0,0,0,0,0,0,29,2,1,0,0,0,0,2,0,14,23,60.9,1,26,2,3,3,2,0,0,1,1,0,1,0,1,0,0,0,1,3,0,0,14,23,60.9,133,46,14,17,82.4,0,1,0,0,2,0,0,0,0,1,1,1,0,1,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Marvin,28,es ESP,RW,20-079,21,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,11,15,73.3,1,15,2,2,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,11,15,73.3,154,35,9,10,90,2,3,66.7,0,1,0,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Martin Ødegaard,21,no NOR,AM,21-278,68,0,0,0,0,1,0,0,0,50,1,0,0,0.1,0.1,0.2,2,0,36,47,76.6,6,32,3,0,0,1,0,0,1,0,1,2,50,1,0,0,0,0,1,0,0,36,47,76.6,516,85,18,21,85.7,17,20,85,0,2,0,0,0.2,0.2,2,3,1,0,6,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Casemiro,14,br BRA,DM,28-210,22,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,20,22,90.9,0,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,22,90.9,318,80,9,10,90,8,8,100,1,2,50,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Toni Kroos,8,de GER,DM,30-260,90,0,0,0,0,3,1,0,0,122,2,1,0,0.1,0.1,0.2,7,0,103,115,89.6,8,86,1,1,1,2,1,0,2,0,0,2,0,2,0,0,0,1,3,1,0,103,115,89.6,1980,587,45,45,100,40,43,93,15,22,68.2,0,0.2,0.2,3,13,0,0,8,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Luka Modrić,10,hr CRO,DM,35-011,69,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.1,4,0,63,70,90,4,53,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,63,70,90,1068,200,29,30,96.7,27,29,93.1,5,8,62.5,0,0.1,0.1,3,3,1,0,4,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
9/20/20,La Liga,Real Sociedad,Federico Valverde,15,uy URU,AM,22-060,21,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,2,0,17,21,81,2,16,2,2,2,1,0,0,1,0,1,2,50,1,0,0,0,0,1,0,0,17,21,81,209,77,11,14,78.6,5,5,100,0,0,,0,0,0,0,4,0,0,2,https://fbref.com/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
