Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
8/21/16,20:15,La Liga,Matchweek 1,Sun,Away,W,3,0,Real Sociedad,55,27653,Sergio Ramos,4-3-3,4-2-3-1,Juan Martínez,Match Report,
8/27/16,20:15,La Liga,Matchweek 2,Sat,Home,W,2,1,Celta Vigo,54,61568,Sergio Ramos,4-3-3,4-2-3-1,Ricardo de Burgos,Match Report,
9/10/16,16:00,La Liga,Matchweek 3,Sat,Home,W,5,2,Osasuna,61,69567,Sergio Ramos,4-3-3,5-3-2,David Fernández,Match Report,
9/14/16,20:45,Champions Lg,Group stage,Wed,Home,W,2,1,pt Sporting CP,60,72179,Sergio Ramos,4-3-3,4-4-2,Paolo Tagliavento,Match Report,
9/18/16,20:45,La Liga,Matchweek 4,Sun,Away,W,2,0,Espanyol,60,29484,Sergio Ramos,4-3-3,4-4-2,Alejandro Hernández,Match Report,
9/21/16,20:00,La Liga,Matchweek 5,Wed,Home,D,1,1,Villarreal,59,67328,Sergio Ramos,4-3-3,4-2-3-1,José González,Match Report,
9/24/16,19:45,La Liga,Matchweek 6,Sat,Away,D,2,2,Las Palmas,45,22520,Sergio Ramos,4-3-3,4-2-3-1,Javier Estrada,Match Report,
9/27/16,20:45,Champions Lg,Group stage,Tue,Away,D,2,2,de Dortmund,40,65849,Sergio Ramos,4-3-3,4-1-4-1,Mark Clattenburg,Match Report,
10/2/16,16:15,La Liga,Matchweek 7,Sun,Home,D,1,1,Eibar,65,72103,Pepe,4-3-3,4-1-4-1,Juan Martínez,Match Report,
10/15/16,20:45,La Liga,Matchweek 8,Sat,Away,W,6,1,Betis,52,41655,Marcelo,4-3-3,4-3-3,Jesús Gil,Match Report,
10/18/16,20:45,Champions Lg,Group stage,Tue,Home,W,5,1,pl Legia Warsaw,61,70251,Marcelo,4-3-3,4-2-3-1,Ruddy Buquet,Match Report,
10/23/16,20:45,La Liga,Matchweek 9,Sun,Home,W,2,1,Athletic Club,66,72910,Marcelo,4-3-3,4-2-3-1,Ignacio Iglesias,Match Report,
10/29/16,16:15,La Liga,Matchweek 10,Sat,Away,W,4,1,Alavés,59,19840,Marcelo,4-3-3,5-3-2,José Sánchez,Match Report,
11/2/16,20:45,Champions Lg,Group stage,Wed,Away,D,3,3,pl Legia Warsaw,58,,Cristiano Ronaldo,4-4-2,4-2-3-1,Pavel Královec,Match Report,
11/6/16,12:00,La Liga,Matchweek 11,Sun,Home,W,3,0,Leganés,65,74269,Marcelo,4-3-3,4-3-3,Antonio Matéu Lahoz,Match Report,
11/19/16,20:45,La Liga,Matchweek 12,Sat,Away,W,3,0,Atlético Madrid,53,53741,Marcelo,4-3-3,4-4-2,David Fernández,Match Report,
11/22/16,19:45,Champions Lg,Group stage,Tue,Away,W,2,1,pt Sporting CP,59,50046,Sergio Ramos,4-2-3-1,4-1-4-1,William Collum,Match Report,
11/26/16,16:15,La Liga,Matchweek 13,Sat,Home,W,2,1,Sporting Gijón,54,67118,Sergio Ramos,4-2-3-1,5-4-1,Alejandro Hernández,Match Report,
12/3/16,16:15,La Liga,Matchweek 14,Sat,Away,D,1,1,Barcelona,45,98485,Sergio Ramos,4-2-3-1,4-3-3,Carlos Clos,Match Report,
12/7/16,20:45,Champions Lg,Group stage,Wed,Home,D,2,2,de Dortmund,46,76894,Sergio Ramos,4-3-3,4-2-3-1,Szymon Marciniak,Match Report,
12/10/16,20:45,La Liga,Matchweek 15,Sat,Home,W,3,2,La Coruña,64,67174,Sergio Ramos,4-2-3-1,4-2-3-1,Santiago Jaime,Match Report,
1/7/17,13:00,La Liga,Matchweek 17,Sat,Home,W,5,0,Granada,61,71184,Marcelo,4-3-3,5-4-1,Iñaki Bikandi,Match Report,
1/15/17,20:45,La Liga,Matchweek 18,Sun,Away,L,1,2,Sevilla,42,40386,Sergio Ramos,3-5-2,4-2-3-1,Alejandro Hernández,Match Report,
1/21/17,16:15,La Liga,Matchweek 19,Sat,Home,W,2,1,Málaga,58,72687,Sergio Ramos,4-3-3,4-2-3-1,Jesús Gil,Match Report,
1/29/17,20:45,La Liga,Matchweek 20,Sun,Home,W,3,0,Real Sociedad,43,66693,Sergio Ramos,4-3-3,4-3-3,Mario Melero,Match Report,
2/11/17,20:45,La Liga,Matchweek 22,Sat,Away,W,3,1,Osasuna,66,17770,Sergio Ramos,3-5-2,4-4-2,Ignacio Iglesias,Match Report,
2/15/17,20:45,Champions Lg,Round of 16,Wed,Home,W,3,1,it Napoli,50,78000,Sergio Ramos,4-3-3,4-3-3,Damir Skomina,Match Report,Leg 1 of 2
2/18/17,16:15,La Liga,Matchweek 23,Sat,Home,W,2,0,Espanyol,68,75606,Pepe,4-3-3,4-5-1,Alberto Undiano,Match Report,
2/22/17,18:45,La Liga,Matchweek 16,Wed,Away,L,1,2,Valencia,72,45833,Sergio Ramos,4-3-3,4-2-3-1,Ricardo de Burgos,Match Report,
2/26/17,20:45,La Liga,Matchweek 24,Sun,Away,W,3,2,Villarreal,50,21415,Sergio Ramos,4-3-3,4-2-3-1,Jesús Gil,Match Report,
3/1/17,21:30,La Liga,Matchweek 25,Wed,Home,D,3,3,Las Palmas,44,63789,Sergio Ramos,4-3-3,4-1-4-1,David Fernández,Match Report,
3/4/17,16:15,La Liga,Matchweek 26,Sat,Away,W,4,1,Eibar,51,6740,Sergio Ramos,4-3-3,4-2-3-1,José González,Match Report,
3/7/17,20:45,Champions Lg,Round of 16,Tue,Away,W,3,1,it Napoli,46,56695,Cristiano Ronaldo,4-3-3,4-3-3,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
3/12/17,20:45,La Liga,Matchweek 27,Sun,Home,W,2,1,Betis,70,73103,Sergio Ramos,4-4-2,5-3-2,Antonio Matéu Lahoz,Match Report,
3/18/17,16:15,La Liga,Matchweek 28,Sat,Away,W,2,1,Athletic Club,48,49095,Sergio Ramos,4-3-3,4-2-3-1,Santiago Jaime,Match Report,
4/2/17,16:15,La Liga,Matchweek 29,Sun,Home,W,3,0,Alavés,63,76875,Pepe,4-3-3,5-4-1,José Sánchez,Match Report,
