Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
8/14/22,22:00,La Liga,Matchweek 1,Sun,Away,W,2,1,Almería,2.1,0.7,67,14386,Karim Benzema,4-3-3,5-3-2,Juan Martínez,Match Report,
8/20/22,22:00,La Liga,Matchweek 2,Sat,Away,W,4,1,Celta Vigo,3.7,1.4,49,15681,Karim Benzema,4-3-3,4-1-3-2,Jesús Gil,Match Report,
8/28/22,22:00,La Liga,Matchweek 3,Sun,Away,W,3,1,Espanyol,2.1,1.3,64,25778,Karim Benzema,4-3-3,4-1-4-1,Mario Melero,Match Report,
9/3/22,16:15,La Liga,Matchweek 4,Sat,Home,W,2,1,Betis,2.9,0.5,49,58579,Karim Benzema,4-3-3,4-2-3-1,José Sánchez,Match Report,
9/6/22,20:00,Champions Lg,Group stage,Tue,Away,W,3,0,sct Celtic,1.9,1.4,64,57057,Karim Benzema,4-3-3,4-2-3-1,Sandro Schärer,Match Report,
9/11/22,14:00,La Liga,Matchweek 5,Sun,Home,W,4,1,Mallorca,2.3,0.5,68,54816,Toni Kroos,4-3-3,5-3-2,Jorge Figueroa,Match Report,
9/14/22,21:00,Champions Lg,Group stage,Wed,Home,W,2,0,de RB Leipzig,0.9,0.7,52,54289,Nacho,4-3-3,4-2-3-1,Maurizio Mariani,Match Report,
9/18/22,21:00,La Liga,Matchweek 6,Sun,Away,W,2,1,Atlético Madrid,0.9,1,46,66881,Luka Modrić,4-3-3,3-5-2,José Luis Munuera,Match Report,
10/2/22,21:00,La Liga,Matchweek 7,Sun,Home,D,1,1,Osasuna,2.5,0.5,64,55410,Karim Benzema,4-3-3,4-1-4-1,Guillermo Cuadra,Match Report,
10/5/22,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,3.4,0.8,59,56011,Karim Benzema,4-3-3,4-1-4-1,Ivan Kružliak,Match Report,
10/8/22,21:00,La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,1.4,0.3,65,14502,Luka Modrić,4-3-3,5-3-2,Antonio Matéu Lahoz,Match Report,
10/11/22,22:00,Champions Lg,Group stage,Tue,Away,D,1,1,ua Shakhtar,1.1,0.5,58,29030,Karim Benzema,4-2-3-1,4-1-4-1,Orel Grinfeeld,Match Report,
10/16/22,16:15,La Liga,Matchweek 9,Sun,Home,W,3,1,Barcelona,1.1,2,44,62876,Karim Benzema,4-3-3,4-3-3,José Sánchez,Match Report,
10/19/22,21:00,La Liga,Matchweek 10,Wed,Away,W,3,0,Elche,1.5,0.8,62,30236,Karim Benzema,4-3-3,4-1-4-1,Jesús Gil,Match Report,
10/22/22,21:00,La Liga,Matchweek 11,Sat,Home,W,3,1,Sevilla,3,0.5,56,59625,Luka Modrić,4-3-3,4-3-3,Alejandro Hernández,Match Report,
10/25/22,21:00,Champions Lg,Group stage,Tue,Away,L,2,3,de RB Leipzig,2.1,2.2,56,45228,Nacho,4-2-3-1,4-2-3-1,Daniele Orsato,Match Report,
10/30/22,16:15,La Liga,Matchweek 12,Sun,Home,D,1,1,Girona,2.9,1.4,58,58367,Luka Modrić,4-3-3,4-1-4-1,Mario Melero,Match Report,
11/2/22,18:45,Champions Lg,Group stage,Wed,Home,W,5,1,sct Celtic,3.8,2.1,64,52511,Luka Modrić,4-3-3,4-5-1,Stéphanie Frappart,Match Report,
11/7/22,21:00,La Liga,Matchweek 13,Mon,Away,L,2,3,Rayo Vallecano,2.4,1.5,54,14216,Luka Modrić,4-3-3,4-2-3-1,Juan Martínez,Match Report,
11/10/22,21:30,La Liga,Matchweek 14,Thu,Home,W,2,1,Cádiz,2,0.9,66,53190,Luka Modrić,4-3-3,4-4-2,César Soto,Match Report,
12/30/22,21:30,La Liga,Matchweek 15,Fri,Away,W,2,0,Valladolid,2.3,0.6,61,25950,Karim Benzema,4-3-3,4-3-3,José Luis Munuera,Match Report,
1/7/23,16:15,La Liga,Matchweek 16,Sat,Away,L,1,2,Villarreal,2.2,3,51,21088,Karim Benzema,4-3-3,4-3-3,César Soto,Match Report,
1/22/23,21:00,La Liga,Matchweek 18,Sun,Away,W,2,0,Athletic Club,1.1,1.1,49,49316,Karim Benzema,4-3-3,4-2-3-1,José Sánchez,Match Report,
1/29/23,21:00,La Liga,Matchweek 19,Sun,Home,D,0,0,Real Sociedad,1.3,0.4,61,58129,Karim Benzema,4-3-3,4-3-3,Mario Melero,Match Report,
2/2/23,21:00,La Liga,Matchweek 17,Thu,Home,W,2,0,Valencia,2.3,0.2,70,51926,Karim Benzema,4-3-3,4-3-3,Alberola Rojas,Match Report,
2/5/23,14:00,La Liga,Matchweek 20,Sun,Away,L,0,1,Mallorca,1.7,0.2,73,18258,Nacho,4-3-3,5-4-1,Alejandro Hernández,Match Report,
2/15/23,21:00,La Liga,Matchweek 21,Wed,Home,W,4,0,Elche,4.1,0.6,72,44319,Karim Benzema,4-3-3,3-5-2,Ricardo de Burgos,Match Report,
2/18/23,21:00,La Liga,Matchweek 22,Sat,Away,W,2,0,Osasuna,1.3,0.5,53,21668,Nacho,4-3-3,4-2-3-1,José Luis Munuera,Match Report,
2/21/23,20:00,Champions Lg,Round of 16,Tue,Away,W,5,2,eng Liverpool,1.6,1.8,48,52337,Karim Benzema,4-3-3,4-3-3,István Kovács,Match Report,Leg 1 of 2
2/25/23,18:30,La Liga,Matchweek 23,Sat,Home,D,1,1,Atlético Madrid,1.6,0.3,62,64721,Karim Benzema,4-3-3,4-4-2,Jesús Gil,Match Report,
3/5/23,21:00,La Liga,Matchweek 24,Sun,Away,D,0,0,Betis,1.5,0.5,63,52212,Karim Benzema,4-4-2,4-2-3-1,César Soto,Match Report,
