Date,Result,Forward_ Gls_sum,Forward_ Gls_mean,Forward_Ast_sum,Forward_Ast_mean,Forward_ SoT_sum,Forward_ SoT_mean,Forward_Take-Ons Att_sum,Forward_Take-Ons Att_mean,Forward_Expected xG_sum,Forward_Expected xG_mean,Forward_xAG_sum,Forward_xAG_mean,Forward_Rebalanced_Score_sum,Forward_Rebalanced_Score_mean,Midfielder_Passes Cmp_sum,Midfielder_Passes Cmp_mean,Midfielder_KP_sum,Midfielder_KP_mean,Midfielder_ Tkl_sum,Midfielder_ Tkl_mean,Midfielder_Tackles Tkl_sum,Midfielder_Tackles Tkl_mean,Midfielder_Carries Carries_sum,Midfielder_Carries Carries_mean,Midfielder_ Touches_sum,Midfielder_ Touches_mean,Midfielder_Rebalanced_Score_sum,Midfielder_Rebalanced_Score_mean,Defender_Int_sum,Defender_Int_mean,Defender_ Blocks_sum,Defender_ Blocks_mean,Defender_Clr_sum,Defender_Clr_mean,Defender_ Tkl_sum,Defender_ Tkl_mean,Defender_Tackles Tkl_sum,Defender_Tackles Tkl_mean,Defender_Rebalanced_Score_sum,Defender_Rebalanced_Score_mean,Goalkeeper_Passes Cmp%_sum,Goalkeeper_Passes Cmp%_mean,Goalkeeper_Passes Cmp_sum,Goalkeeper_Passes Cmp_mean,Goalkeeper_Err_sum,Goalkeeper_Err_mean,Goalkeeper_Passes PrgP_sum,Goalkeeper_Passes PrgP_mean,Goalkeeper_Total Cmp_sum,Goalkeeper_Total Cmp_mean,Goalkeeper_Rebalanced_Score_sum,Goalkeeper_Rebalanced_Score_mean,Win
2017-08-20,W,1.0,0.3333333333333333,2.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.6666666666666666,1.0,0.3333333333333333,1.3,0.43333333333333335,35.75696202531646,11.918987341772153,277.0,46.166666666666664,1.0,0.16666666666666666,8.0,1.3333333333333333,8.0,1.3333333333333333,246.0,41.0,356.0,59.333333333333336,32.55515880709358,5.425859801182263,8.0,2.0,2.0,0.5,7.0,1.75,11.0,2.75,11.0,2.75,40.00563046192259,10.001407615480648,84.0,84.0,21.0,21.0,0.0,0.0,0.0,0.0,21.0,21.0,16.8,16.8,1
2017-09-13,W,2.0,0.4,1.0,0.2,3.0,0.6,5.0,1.0,3.4000000000000004,0.68,1.6,0.32,39.60516431924883,7.921032863849765,216.0,54.0,5.0,1.25,13.0,3.25,13.0,3.25,168.0,42.0,276.0,69.0,33.835,8.45875,12.0,3.0,4.0,1.0,5.0,1.25,8.0,2.0,8.0,2.0,46.9,11.725,100.0,100.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,20.0,20.0,1
2017-09-17,W,2.0,0.4,0.0,0.0,5.0,1.0,7.0,1.4,2.4,0.48,0.30000000000000004,0.06000000000000001,54.4060214626391,10.881204292527821,129.0,43.0,4.0,1.3333333333333333,6.0,2.0,6.0,2.0,142.0,47.333333333333336,184.0,61.333333333333336,24.839999999999996,8.28,8.0,1.6,2.0,0.4,19.0,3.8,10.0,2.0,10.0,2.0,47.9561797752809,9.591235955056181,65.2,65.2,15.0,15.0,1.0,1.0,0.0,0.0,15.0,15.0,10.54,10.54,1
2017-09-20,L,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,1.5,0.75,1.6,0.8,13.7,6.85,244.0,40.666666666666664,11.0,1.8333333333333333,9.0,1.5,9.0,1.5,196.0,32.666666666666664,319.0,53.166666666666664,56.68174034638452,9.44695672439742,5.0,1.0,4.0,0.8,0.0,0.0,3.0,0.6,3.0,0.6,27.470422535211267,5.4940845070422535,82.6,82.6,19.0,19.0,0.0,0.0,0.0,0.0,19.0,19.0,16.52,16.52,0
2017-09-23,W,0.0,0.0,1.0,0.25,2.0,0.5,14.0,3.5,0.8,0.2,1.1,0.275,20.30111111111111,5.075277777777777,172.0,43.0,8.0,2.0,7.0,1.75,7.0,1.75,161.0,40.25,229.0,57.25,41.11674797718567,10.279186994296417,4.0,1.0,2.0,0.5,8.0,2.0,4.0,1.0,4.0,1.0,22.4,5.6,73.7,73.7,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,14.74,14.74,1
2017-09-26,W,3.0,0.75,1.0,0.25,4.0,1.0,0.0,0.0,1.3,0.325,1.1,0.275,42.55825396825397,10.639563492063493,225.0,45.0,8.0,1.6,10.0,2.0,10.0,2.0,199.0,39.8,302.0,60.4,43.849450686641696,8.769890137328339,3.0,0.75,6.0,1.5,19.0,4.75,11.0,2.75,11.0,2.75,44.9,11.225,64.3,64.3,18.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,12.86,12.86,1
2017-10-01,W,0.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,0.6,0.3,2.1,1.05,25.7,12.85,284.0,40.57142857142857,11.0,1.5714285714285714,10.0,1.4285714285714286,10.0,1.4285714285714286,312.0,44.57142857142857,370.0,52.857142857142854,57.8285143640812,8.261216337725886,5.0,1.25,4.0,1.0,10.0,2.5,12.0,3.0,12.0,3.0,43.4,10.85,69.6,69.6,16.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,13.919999999999998,13.919999999999998,1
2017-10-14,W,2.0,0.6666666666666666,0.0,0.0,5.0,1.6666666666666667,4.0,1.3333333333333333,1.7000000000000002,0.5666666666666668,0.39999999999999997,0.13333333333333333,36.8875,12.295833333333334,221.0,44.2,4.0,0.8,13.0,2.6,13.0,2.6,213.0,42.6,288.0,57.6,44.80366197183099,8.960732394366199,8.0,1.6,5.0,1.0,16.0,3.2,9.0,1.8,9.0,1.8,49.13943661971831,9.827887323943662,75.0,75.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,15.0,15.0,1
2017-10-22,W,1.0,0.3333333333333333,1.0,0.3333333333333333,4.0,1.3333333333333333,1.0,0.3333333333333333,0.8,0.26666666666666666,0.7,0.2333333333333333,35.7,11.9,250.0,41.666666666666664,7.0,1.1666666666666667,8.0,1.3333333333333333,8.0,1.3333333333333333,265.0,44.166666666666664,321.0,53.5,51.31142857142857,8.551904761904762,8.0,2.0,3.0,0.75,14.0,3.5,5.0,1.25,5.0,1.25,34.4,8.6,90.0,90.0,36.0,36.0,0.0,0.0,0.0,0.0,36.0,36.0,18.0,18.0,1
2017-10-29,L,0.0,0.0,0.0,0.0,3.0,1.5,7.0,3.5,0.7,0.35,0.30000000000000004,0.15000000000000002,11.2,5.6,254.0,63.5,4.0,1.0,8.0,2.0,8.0,2.0,240.0,60.0,341.0,85.25,26.659999999999997,6.664999999999999,5.0,0.7142857142857143,4.0,0.5714285714285714,11.0,1.5714285714285714,8.0,1.1428571428571428,8.0,1.1428571428571428,57.09230769230769,8.156043956043955,59.3,59.3,16.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,11.86,11.86,0
2017-11-01,L,1.0,0.25,1.0,0.25,6.0,1.5,7.0,1.75,1.1,0.275,0.8,0.2,34.845,8.71125,272.0,54.4,4.0,0.8,7.0,1.4,7.0,1.4,236.0,47.2,342.0,68.4,32.7525,6.5504999999999995,8.0,2.0,4.0,1.0,7.0,1.75,6.0,1.5,6.0,1.5,39.9,9.975,72.0,72.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,14.4,14.4,0
2017-11-05,W,0.0,0.0,1.0,0.3333333333333333,3.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.8,0.26666666666666666,29.718581081081084,9.906193693693695,275.0,45.833333333333336,9.0,1.5,13.0,2.1666666666666665,13.0,2.1666666666666665,251.0,41.833333333333336,357.0,59.5,61.72354180537178,10.287256967561964,10.0,2.5,4.0,1.0,9.0,2.25,9.0,2.25,9.0,2.25,38.9,9.725,84.2,84.2,16.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.840000000000003,16.840000000000003,1
2017-11-21,W,4.0,1.3333333333333333,1.0,0.3333333333333333,5.0,1.6666666666666667,5.0,1.6666666666666667,2.7,0.9,0.8,0.26666666666666666,55.65238095238095,18.55079365079365,300.0,60.0,5.0,1.0,5.0,1.0,5.0,1.0,299.0,59.8,369.0,73.8,43.43167464114832,8.686334928229664,4.0,0.8,5.0,1.0,9.0,1.8,7.0,1.4,7.0,1.4,28.9,5.779999999999999,86.7,86.7,26.0,26.0,0.0,0.0,0.0,0.0,26.0,26.0,17.34,17.34,1
2017-11-25,W,2.0,0.6666666666666666,0.0,0.0,4.0,1.3333333333333333,4.0,1.3333333333333333,2.5,0.8333333333333334,0.1,0.03333333333333333,38.24545454545455,12.74848484848485,203.0,33.833333333333336,6.0,1.0,15.0,2.5,15.0,2.5,209.0,34.833333333333336,287.0,47.833333333333336,42.948114754098356,7.158019125683059,8.0,2.0,5.0,1.25,12.0,3.0,7.0,1.75,7.0,1.75,45.4,11.35,76.0,76.0,19.0,19.0,1.0,1.0,0.0,0.0,19.0,19.0,12.7,12.7,1
2017-12-06,W,3.0,0.75,0.0,0.0,9.0,2.25,12.0,3.0,2.4,0.6,1.5,0.375,57.104171907756815,14.276042976939204,300.0,60.0,8.0,1.6,7.0,1.4,7.0,1.4,252.0,50.4,361.0,72.2,65.36260906276387,13.072521812552774,3.0,0.75,3.0,0.75,7.0,1.75,7.0,1.75,7.0,1.75,33.27354354354354,8.318385885885885,95.8,95.8,23.0,23.0,0.0,0.0,0.0,0.0,23.0,23.0,19.16,19.16,1
2017-12-09,W,2.0,0.6666666666666666,1.0,0.3333333333333333,2.0,0.6666666666666666,4.0,1.3333333333333333,1.9,0.6333333333333333,0.4,0.13333333333333333,34.5,11.5,314.0,52.333333333333336,11.0,1.8333333333333333,9.0,1.5,9.0,1.5,275.0,45.833333333333336,367.0,61.166666666666664,71.90479262672811,11.984132104454686,12.0,3.0,7.0,1.75,3.0,0.75,8.0,2.0,8.0,2.0,46.9,11.725,83.3,83.3,30.0,30.0,0.0,0.0,0.0,0.0,30.0,30.0,16.66,16.66,1
2017-12-23,L,0.0,0.0,0.0,0.0,3.0,0.75,3.0,0.75,0.6000000000000001,0.15000000000000002,0.1,0.025,22.964026090868195,5.741006522717049,175.0,35.0,5.0,1.0,8.0,1.6,8.0,1.6,164.0,32.8,225.0,45.0,32.97254344782144,6.594508689564288,3.0,0.75,6.0,1.5,6.0,1.5,6.0,1.5,6.0,1.5,27.2721146953405,6.818028673835125,79.2,79.2,19.0,19.0,0.0,0.0,0.0,0.0,19.0,19.0,15.84,15.84,0
2018-01-13,L,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,3.0,1.0,1.8,0.6,0.2,0.06666666666666667,24.541614906832297,8.180538302277432,282.0,56.4,17.0,3.4,6.0,1.2,6.0,1.2,272.0,54.4,354.0,70.8,54.809192546583844,10.961838509316769,7.0,1.75,3.0,0.75,6.0,1.5,10.0,2.5,10.0,2.5,42.4,10.6,85.0,85.0,17.0,17.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,0
2018-01-21,W,4.0,0.8,2.0,0.4,6.0,1.2,9.0,1.8,1.6,0.32,0.4,0.08,58.97190476190476,11.794380952380951,205.0,51.25,8.0,2.0,10.0,2.5,10.0,2.5,146.0,36.5,257.0,64.25,44.96000000000001,11.240000000000002,2.0,0.5,2.0,0.5,9.0,2.25,13.0,3.25,13.0,3.25,26.9,6.725,100.0,100.0,17.0,17.0,0.0,0.0,0.0,0.0,17.0,17.0,20.0,20.0,1
2018-01-27,W,2.0,0.4,1.0,0.2,3.0,0.6,6.0,1.2,2.6,0.52,0.30000000000000004,0.06000000000000001,34.26294881588999,6.852589763177998,209.0,52.25,5.0,1.25,15.0,3.75,15.0,3.75,115.0,28.75,274.0,68.5,35.91448275862069,8.978620689655173,10.0,2.5,3.0,0.75,12.0,3.0,8.0,2.0,8.0,2.0,39.400000000000006,9.850000000000001,76.5,76.5,26.0,26.0,0.0,0.0,0.0,0.0,26.0,26.0,15.3,15.3,1
2018-02-10,W,3.0,1.5,1.0,0.5,3.0,1.5,6.0,3.0,3.4,1.7,0.7,0.35,36.2,18.1,246.0,35.142857142857146,7.0,1.0,11.0,1.5714285714285714,11.0,1.5714285714285714,199.0,28.428571428571427,305.0,43.57142857142857,62.33504608294931,8.905006583278473,4.0,1.0,5.0,1.25,8.0,2.0,9.0,2.25,9.0,2.25,36.4,9.1,76.9,76.9,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,15.38,15.38,1
2018-02-14,W,2.0,0.6666666666666666,0.0,0.0,4.0,1.3333333333333333,2.0,0.6666666666666666,2.2,0.7333333333333334,0.1,0.03333333333333333,25.386567164179105,8.462189054726368,202.0,33.666666666666664,9.0,1.5,14.0,2.3333333333333335,14.0,2.3333333333333335,216.0,36.0,278.0,46.333333333333336,46.69076923076923,7.7817948717948715,6.0,1.5,4.0,1.0,15.0,3.75,12.0,3.0,12.0,3.0,45.9,11.475,90.0,90.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,1
