Date,Result,Rebalanced_Score,Players_Count,Win
2017-08-20,W,8.936982235309474,14,1
2017-09-13,W,10.024297451374917,14,1
2017-09-17,W,9.838728659851428,14,1
2017-09-20,L,8.16944020582827,14,0
2017-09-23,W,7.581373776022829,13,1
2017-09-26,W,10.297693189635405,14,1
2017-10-01,W,10.060608168862943,14,1
2017-10-14,W,10.416471327967807,14,1
2017-10-22,W,9.957959183673468,14,1
2017-10-29,L,7.6294505494505485,14,0
2017-11-01,L,8.706964285714285,14,0
2017-11-05,W,10.513008777603776,14,1
2017-11-21,W,10.380289685252091,14,1
2017-11-25,W,9.949540664253778,14,1
2017-12-06,W,12.492880322433157,14,1
2017-12-09,W,12.14034233048058,14,1
2017-12-23,L,7.074906016716438,14,0
2018-01-13,L,10.673139034878165,13,0
2018-01-21,W,10.773707482993197,14,1
2018-01-27,W,8.919816541036479,14,1
2018-02-10,W,10.736789005924951,14,1
2018-02-14,W,9.712666885353453,14,1
2018-02-18,W,9.560373642750692,14,1
2018-02-21,W,8.757685869452265,14,1
2018-02-24,W,11.882998141099408,13,1
2018-02-27,L,6.5930891902215425,14,0
2018-03-03,W,8.257472527472528,14,1
2018-03-06,W,12.137097505668935,14,1
2018-03-10,W,8.628877551020407,14,1
2018-03-18,W,13.112547882355488,14,1
2018-03-31,W,8.279186501785748,14,1
2018-04-03,W,9.884219755469756,14,1
2018-04-11,L,8.308108108108108,14,0
2018-04-15,W,9.301732688250336,13,1
2018-04-25,W,7.432001900538486,14,1
2018-04-28,W,8.993257381397573,13,1
2018-05-09,L,7.454409271214124,13,0
2018-05-12,W,12.199008335728658,14,1
2018-05-26,W,8.349978354978356,14,1
2018-08-19,W,8.282693584610877,14,1
2018-08-26,W,10.190458536961245,14,1
2018-09-01,W,8.900121154788037,14,1
2018-09-19,W,11.634205592921171,14,1
2018-09-22,W,9.196483014369056,14,1
2018-09-26,L,8.373571084355781,14,0
2018-10-02,L,8.512318621228395,14,0
2018-10-06,L,6.694273836016507,14,0
2018-10-20,L,10.190866984300555,14,0
2018-10-23,W,9.683175619154799,14,1
2018-10-28,L,6.015502446592672,14,0
2018-11-03,W,9.486493506493506,14,1
2018-11-07,W,11.888725582563909,13,1
2018-11-11,W,7.901293151293151,13,1
2018-11-24,L,7.122122654197307,14,0
2018-11-27,W,9.387087642296779,14,1
2018-12-01,W,8.778419441201626,14,1
2018-12-09,W,6.050125138019874,14,1
2018-12-12,L,7.344854568646927,13,0
2018-12-15,W,7.464931761657283,14,1
2019-01-06,L,8.477015152496708,14,0
2019-01-13,W,6.989434561320137,13,1
2019-01-19,W,6.281826449412656,13,1
2019-01-27,W,9.190124716553287,14,1
2019-02-03,W,11.368119538847756,14,1
2019-02-09,W,6.405077567719311,14,1
2019-02-13,W,10.353392857142856,14,1
2019-02-17,L,6.905247595560226,14,0
2019-02-24,W,8.939231598399264,14,1
2019-03-02,L,7.159999999999999,14,0
2019-03-05,L,9.086451261256151,14,0
2019-03-10,W,7.932086739609561,14,1
2019-03-16,W,10.06757502435043,14,1
2019-03-31,W,8.328021749560211,13,1
2019-04-03,L,8.31539270253556,14,0
2019-04-06,W,9.142133081499898,14,1
2019-04-21,W,10.237417923691215,14,1
2019-04-28,L,6.628113720373995,14,0
2019-05-05,W,9.449269007710722,14,1
2019-05-12,L,7.407423272477314,14,0
2019-05-19,L,6.251117203479632,14,0
2019-08-17,W,8.553256795756797,14,1
2019-09-14,W,11.041234409618173,14,1
2019-09-18,L,5.453974472732236,14,0
2019-09-22,W,7.60942091616249,13,1
2019-09-25,W,8.573015873015873,13,1
2019-10-05,W,11.66814522938362,14,1
2019-10-19,L,6.718069919045947,14,0
2019-10-22,W,9.782655677655677,14,1
2019-10-30,W,11.33044982635589,14,1
2019-11-06,W,10.777144071707168,14,1
2019-11-09,W,6.618586519114688,14,1
2019-11-23,W,9.927304402914158,14,1
2019-11-30,W,6.708550574727505,14,1
2019-12-07,W,7.796216746861346,14,1
2019-12-11,W,7.972515852885225,14,1
2020-01-04,W,7.927678571428571,14,1
2020-01-18,W,8.136878323969498,14,1
2020-01-26,W,6.559553606022029,14,1
2020-02-01,W,7.958461538461538,13,1
2020-02-09,W,12.111995073891626,14,1
2020-02-22,L,6.780892857142858,14,0
2020-02-26,L,7.662874284251854,14,0
2020-03-01,W,9.05602489050936,14,1
2020-03-08,L,8.530274238945639,14,0
2020-06-14,W,5.695346385542169,16,1
2020-06-18,W,10.77399960054271,13,1
2020-06-21,W,7.602954901509097,16,1
2020-06-24,W,8.475078197784926,16,1
2020-06-28,W,6.373581472291149,13,1
2020-07-02,W,5.472618162324109,16,1
2020-07-05,W,6.486069658523714,15,1
2020-07-10,W,8.523081677794062,16,1
