Player,Position_Group,Season,Rebalanced_Score,Min, Gls, Ast,Performance_Score
Achraf Hakimi,Defense,17_18,10.04,937.0,2.0,0.0,0.91
Alphonse Areola,Goalkeeper,19_20,20.65,495.0,0.0,0.0,0.0
Andriy Lunin,Goalkeeper,21_22,23.54,180.0,0.0,0.0,0.0
Andriy Lunin,Goalkeeper,22_23,23.96,810.0,0.0,0.0,0.0
Andriy Lunin,Goalkeeper,23_24,22.0,2640.0,0.0,0.0,0.0
Andriy Lunin,Goalkeeper,24_25,24.46,810.0,0.0,1.0,0.0
Antonio Blanco,Forward,20_21,0.03,26.0,0.0,0.0,0.0
Antonio Blanco,Midfield,20_21,,194.0,0.0,0.0,0.0
Antonio Blanco,Midfield,21_22,,38.0,0.0,0.0,0.0
Antonio Rüdiger,Defense,22_23,8.13,3093.0,2.0,0.0,0.23
Antonio Rüdiger,Defense,23_24,7.58,3749.0,1.0,2.0,0.11
Antonio Rüdiger,Defense,24_25,7.94,3471.0,2.0,0.0,0.24
Antonio Rüdiger,Midfield,24_25,0.01,7.0,0.0,0.0,0.0
Arda Güler,Forward,23_24,8.27,344.0,5.0,0.0,3.12
Arda Güler,Forward,24_25,3.53,870.0,3.0,3.0,0.79
Arda Güler,Midfield,23_24,8.92,33.0,1.0,0.0,2.5
Arda Güler,Midfield,24_25,8.74,527.0,0.0,1.0,0.0
Aurélien Tchouaméni,Defense,23_24,10.27,576.0,0.0,0.0,0.0
Aurélien Tchouaméni,Defense,24_25,10.09,1216.0,0.0,0.0,0.0
Aurélien Tchouaméni,Midfield,22_23,,2551.0,0.0,4.0,0.0
Aurélien Tchouaméni,Midfield,23_24,5.9,2014.0,3.0,1.0,0.54
Aurélien Tchouaméni,Midfield,24_25,6.12,2270.0,0.0,0.0,0.0
Borja Mayoral,Forward,15_16,0.47,282.0,0.0,0.0,0.0
Borja Mayoral,Forward,17_18,5.14,448.0,3.0,2.0,1.0
Borja Mayoral,Forward,20_21,0.01,23.0,0.0,0.0,0.0
Borja Mayoral,Midfield,17_18,1.52,41.0,1.0,0.0,1.67
Brahim Díaz,Defense,23_24,3.05,45.0,0.0,0.0,0.0
Brahim Díaz,Forward,18_19,4.74,375.0,1.0,1.0,0.62
Brahim Díaz,Forward,19_20,2.37,83.0,0.0,0.0,0.0
Brahim Díaz,Forward,23_24,6.26,1200.0,7.0,7.0,1.46
Brahim Díaz,Forward,24_25,4.57,1331.0,3.0,3.0,0.56
Brahim Díaz,Midfield,18_19,,1.0,0.0,0.0,0.0
Brahim Díaz,Midfield,23_24,7.25,623.0,3.0,0.0,1.0
Brahim Díaz,Midfield,24_25,7.74,536.0,3.0,0.0,1.0
Casemiro,Defense,17_18,15.35,180.0,0.0,0.0,0.0
Casemiro,Defense,21_22,11.01,60.0,0.0,0.0,0.0
Casemiro,Midfield,15_16,,2454.0,1.0,3.0,0.15
Casemiro,Midfield,16_17,,2533.0,6.0,2.0,0.88
Casemiro,Midfield,17_18,6.62,3358.0,6.0,3.0,0.75
Casemiro,Midfield,18_19,,2815.0,4.0,0.0,0.57
Casemiro,Midfield,19_20,,3777.0,5.0,4.0,0.58
Casemiro,Midfield,20_21,,3729.0,7.0,5.0,0.8
Casemiro,Midfield,21_22,,3419.0,1.0,3.0,0.12
Casemiro,Midfield,22_23,,8.0,0.0,0.0,0.0
Chema,Midfield,24_25,2.51,12.0,0.0,0.0,0.0
Cristiano Ronaldo,Forward,15_16,13.97,3302.0,41.0,8.0,5.54
Cristiano Ronaldo,Forward,16_17,11.91,3649.0,35.0,11.0,4.27
Cristiano Ronaldo,Forward,17_18,13.87,3455.0,41.0,8.0,5.12
Cristiano Ronaldo,Midfield,15_16,,990.0,10.0,4.0,4.55
Cristiano Ronaldo,Midfield,16_17,,90.0,2.0,0.0,10.0
Cristo González,Forward,18_19,1.05,45.0,0.0,0.0,0.0
Dani Carvajal,Defense,15_16,,2314.0,1.0,5.0,0.17
Dani Carvajal,Defense,16_17,,2991.0,0.0,9.0,0.0
Dani Carvajal,Defense,17_18,11.49,2864.0,0.0,5.0,0.0
Dani Carvajal,Defense,18_19,8.92,2526.0,1.0,3.0,0.17
Dani Carvajal,Defense,19_20,10.42,3360.0,1.0,6.0,0.13
Dani Carvajal,Defense,20_21,11.64,1116.0,0.0,2.0,0.0
Dani Carvajal,Defense,21_22,10.23,2506.0,1.0,4.0,0.14
Dani Carvajal,Defense,22_23,8.18,2653.0,0.0,4.0,0.0
Dani Carvajal,Defense,23_24,9.41,3009.0,5.0,4.0,0.69
Dani Carvajal,Defense,24_25,10.94,789.0,1.0,1.0,0.5
Dani Carvajal,Midfield,23_24,2.0,8.0,0.0,0.0,0.0
Dani Ceballos,Forward,17_18,0.01,35.0,0.0,0.0,0.0
Dani Ceballos,Forward,18_19,3.62,275.0,1.0,0.0,0.83
Dani Ceballos,Forward,21_22,0.01,22.0,0.0,0.0,0.0
Dani Ceballos,Forward,22_23,2.95,138.0,0.0,0.0,0.0
Dani Ceballos,Forward,23_24,1.16,103.0,0.0,1.0,0.0
Dani Ceballos,Forward,24_25,0.01,6.0,0.0,0.0,0.0
Dani Ceballos,Midfield,17_18,9.39,452.0,2.0,0.0,0.83
Dani Ceballos,Midfield,18_19,,1159.0,2.0,0.0,0.5
Dani Ceballos,Midfield,21_22,,295.0,0.0,0.0,0.0
Dani Ceballos,Midfield,22_23,,1512.0,0.0,4.0,0.0
Dani Ceballos,Midfield,23_24,8.04,647.0,1.0,1.0,0.31
Dani Ceballos,Midfield,24_25,10.08,1614.0,0.0,1.0,0.0
Daniel Yáñez,Forward,24_25,0.0,2.0,0.0,0.0,0.0
Danilo,Defense,15_16,,2466.0,2.0,6.0,0.36
Danilo,Defense,16_17,,1755.0,1.0,3.0,0.25
Danilo,Midfield,15_16,,153.0,0.0,0.0,0.0
David Alaba,Defense,21_22,7.96,3681.0,3.0,3.0,0.36
David Alaba,Defense,22_23,7.43,2549.0,1.0,3.0,0.15
David Alaba,Defense,23_24,8.25,1404.0,0.0,2.0,0.0
David Alaba,Defense,24_25,7.06,492.0,0.0,0.0,0.0
Denis Cheryshev,Forward,15_16,4.69,72.0,0.0,1.0,0.0
Eden Hazard,Forward,19_20,4.4,1394.0,1.0,4.0,0.25
Eden Hazard,Forward,20_21,4.86,735.0,4.0,2.0,1.11
Eden Hazard,Forward,21_22,2.13,783.0,0.0,1.0,0.0
Eden Hazard,Forward,22_23,3.54,328.0,1.0,2.0,0.56
Eden Hazard,Midfield,19_20,,137.0,0.0,0.0,0.0
Eden Hazard,Midfield,20_21,,71.0,0.0,0.0,0.0
Eden Hazard,Midfield,21_22,,19.0,0.0,0.0,0.0
Eduardo Camavinga,Defense,22_23,11.37,555.0,0.0,0.0,0.0
Eduardo Camavinga,Defense,23_24,16.04,262.0,0.0,1.0,0.0
Eduardo Camavinga,Defense,24_25,12.07,203.0,0.0,1.0,0.0
Eduardo Camavinga,Forward,21_22,1.52,53.0,0.0,0.0,0.0
Eduardo Camavinga,Forward,22_23,3.56,76.0,0.0,1.0,0.0
Eduardo Camavinga,Forward,23_24,9.02,15.0,0.0,0.0,0.0
Eduardo Camavinga,Midfield,21_22,,1488.0,2.0,2.0,0.3
Eduardo Camavinga,Midfield,22_23,,2100.0,0.0,1.0,0.0
Eduardo Camavinga,Midfield,23_24,7.15,2329.0,0.0,2.0,0.0
Eduardo Camavinga,Midfield,24_25,7.02,1395.0,1.0,1.0,0.2
Endrick,Forward,24_25,4.04,499.0,2.0,0.0,0.34
Endrick,Midfield,24_25,3.35,5.0,0.0,0.0,0.0
Federico Valverde,Defense,21_22,5.05,102.0,0.0,0.0,0.0
Federico Valverde,Defense,24_25,10.71,549.0,1.0,3.0,0.71
Federico Valverde,Forward,19_20,1.19,188.0,0.0,0.0,0.0
Federico Valverde,Forward,20_21,2.0,142.0,0.0,0.0,0.0
Federico Valverde,Forward,21_22,1.47,726.0,0.0,1.0,0.0
