match_id,season,match_date,competition,matchday,home_away,opponent,manchester_city_score,opponent_score,result,possession_percentage,shots_total,shots_on_target,shots_off_target,shots_blocked,corners,offsides,fouls_committed,fouls_suffered,yellow_cards,red_cards,passes_total,passes_completed,pass_accuracy,tackles_total,tackles_won,interceptions,clearances,blocks,attendance,referee,venue,weather_conditions,created_at,updated_at
1,2023-24,2023-08-25,Premier League,1,Home,Arsenal,3,2,Win,62.0,21,7,14,3,4,1,18,14,0,0,454,349,77.0,13,8,16,10,6,52359,Referee 19,Etihad Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
2,2023-24,2023-09-01,Premier League,2,Away,Liverpool,1,1,Draw,75.0,14,7,6,0,8,5,12,8,1,0,636,508,80.0,13,8,13,21,6,65108,Referee 13,Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
3,2023-24,2023-09-05,Premier League,3,Home,Chelsea,0,0,Draw,74.0,14,7,6,1,6,2,9,6,1,0,562,472,84.0,25,15,12,24,7,50820,Referee 7,Etihad Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
4,2023-24,2023-09-18,Premier League,4,Away,Tottenham,1,4,Loss,70.0,13,8,5,2,5,3,16,9,1,0,579,486,84.0,22,14,8,17,8,52546,Referee 7,Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
5,2023-24,2023-09-30,Premier League,5,Home,Newcastle United,2,0,Win,75.0,22,8,14,1,10,4,10,10,1,0,693,589,85.0,23,16,17,22,4,53085,Referee 3,Etihad Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
6,2023-24,2023-10-03,Premier League,6,Away,Brighton & Hove Albion,2,0,Win,55.0,25,8,15,2,12,5,9,12,3,0,509,473,93.0,16,12,8,13,7,57293,Referee 10,Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
7,2023-24,2023-10-09,Champions League,1,Home,RB Leipzig,3,0,Win,70.0,25,6,17,2,12,4,8,12,2,0,516,407,79.0,15,11,17,10,8,45659,Referee 6,Etihad Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
8,2023-24,2023-10-12,Premier League,7,Home,Aston Villa,2,0,Win,78.0,26,7,17,0,11,4,10,14,0,0,650,604,93.0,21,13,13,15,6,50310,Referee 16,Etihad Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
9,2023-24,2023-10-14,EFL Cup,1,Home,Newcastle United,0,0,Draw,62.0,14,4,10,2,12,1,8,10,1,0,584,496,85.0,24,15,18,10,3,54647,Referee 11,Etihad Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
10,2023-24,2023-10-15,Premier League,8,Away,West Ham United,2,1,Win,75.0,19,6,12,1,3,2,11,15,0,0,674,532,79.0,24,16,10,14,7,69581,Referee 7,Ground,,2025-07-10 06:03:44,2025-07-10 06:03:44
11,2023-24,2023-10-26,Premier League,9,Home,Crystal Palace,2,0,Win,77.0,19,8,11,0,8,0,15,14,3,0,623,492,79.0,17,10,16,17,6,45964,Referee 8,Etihad Stadium,,2025-07-10 06:03:44,2025-07-10 06:03:44
