performance_id,match_id,player_name,team_name,started,minutes_played,position,formation_position,substituted_in,substituted_out,goals,assists,shots_total,shots_on_target,shots_off_target,shots_blocked,big_chances_created,big_chances_missed,passes_total,passes_completed,pass_accuracy,key_passes,through_balls,long_balls,crosses_total,crosses_accurate,tackles_total,tackles_won,tackle_success_rate,interceptions,clearances,blocks,headed_clearances,duels_total,duels_won,duel_success_rate,aerial_duels_total,aerial_duels_won,aerial_success_rate,yellow_cards,red_cards,fouls_committed,fouls_suffered,touches,dribbles_attempted,dribbles_successful,dribble_success_rate,dispossessed,distance_covered,sprints,rating,expected_goals,expected_assists,created_at,updated_at,match_date,opponent,competition
115,1,Bernardo Silva,Manchester City,1,78,MF,,,,1,0,3,3,0,0,0,0,62,51,84.3,0,0,0,0,0,6,4,0.0,1,1,0,0,0,0,0.0,0,0,0.0,0,0,2,4,83,0,0,0.0,0,9.8,0,7.9,0.0,0.0,2025-07-09T23:08:58.516223,2025-07-09T23:08:58.516224,2023-08-25,Arsenal,Premier League
41,1,Erling Haaland,Manchester City,1,81,MF,,,,1,0,0,0,0,0,0,0,23,21,92.7,0,0,0,0,0,5,3,0.0,4,3,0,0,0,0,0.0,0,0,0.0,0,0,2,3,45,0,0,0.0,0,11.0,0,6.9,0.0,0.0,2025-07-09T23:08:58.514746,2025-07-09T23:08:58.514747,2023-08-25,Arsenal,Premier League
631,1,Jack Grealish,Manchester City,1,71,MF,,,,0,0,0,0,0,0,0,0,45,36,94.6,0,0,0,0,0,6,4,0.0,3,4,0,0,0,0,0.0,0,0,0.0,1,0,1,1,58,0,0,0.0,0,9.6,0,6.7,0.0,0.0,2025-07-09T23:08:58.528078,2025-07-09T23:08:58.528078,2023-08-25,Arsenal,Premier League
687,1,James Mcatee,Manchester City,0,42,MF,,,,0,0,2,0,0,0,0,0,64,59,86.2,0,0,0,0,0,6,4,0.0,0,2,0,0,0,0,0.0,0,0,0.0,0,0,1,2,89,0,0,0.0,0,9.7,0,6.6,0.0,0.0,2025-07-09T23:08:58.529514,2025-07-09T23:08:58.529515,2023-08-25,Arsenal,Premier League
503,1,Jeremy Doku,Manchester City,1,75,MF,,,,0,0,3,2,0,0,0,0,80,64,86.8,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,2,103,0,0,0.0,0,9.1,0,6.8,0.0,0.0,2025-07-09T23:08:58.525204,2025-07-09T23:08:58.525204,2023-08-25,Arsenal,Premier League
676,1,John Stones,Manchester City,0,26,MF,,,,0,0,0,0,0,0,0,0,63,54,87.3,0,0,0,0,0,3,1,0.0,1,5,0,0,0,0,0.0,0,0,0.0,0,0,3,4,76,0,0,0.0,0,10.5,0,7.3,0.0,0.0,2025-07-09T23:08:58.528940,2025-07-09T23:08:58.528941,2023-08-25,Arsenal,Premier League
32,1,Joško Gvardiol,Manchester City,0,28,MF,,,,0,0,3,2,0,0,0,0,61,52,84.9,0,0,0,0,0,6,4,0.0,4,5,0,0,0,0,0.0,0,0,0.0,0,0,0,2,85,0,0,0.0,0,9.0,0,6.6,0.0,0.0,2025-07-09T23:08:58.514390,2025-07-09T23:08:58.514390,2023-08-25,Arsenal,Premier League
550,1,Kyle Walker,Manchester City,1,85,MF,,,,0,0,2,1,0,0,0,0,42,39,81.9,0,0,0,0,0,3,1,0.0,0,3,0,0,0,0,0.0,0,0,0.0,0,0,1,4,56,0,0,0.0,0,10.9,0,8.0,0.0,0.0,2025-07-09T23:08:58.526392,2025-07-09T23:08:58.526392,2023-08-25,Arsenal,Premier League
323,1,Manuel Akanji,Manchester City,1,83,MF,,,,0,0,0,0,0,0,0,0,65,53,82.6,0,0,0,0,0,2,1,0.0,4,5,0,0,0,0,0.0,0,0,0.0,0,0,1,3,87,0,0,0.0,0,9.3,0,8.1,0.0,0.0,2025-07-09T23:08:58.521013,2025-07-09T23:08:58.521013,2023-08-25,Arsenal,Premier League
308,1,Mateo Kovačić,Manchester City,0,23,MF,,,,0,0,2,2,0,0,0,0,79,64,81.0,0,0,0,0,0,0,0,0.0,4,3,0,0,0,0,0.0,0,0,0.0,0,0,2,4,92,0,0,0.0,0,9.6,0,8.1,0.0,0.0,2025-07-09T23:08:58.520535,2025-07-09T23:08:58.520536,2023-08-25,Arsenal,Premier League
