performance_id,match_id,match_date,competition,opponent,home_away,match_result,player_name,team_name,started,minutes_played,position,formation_position,substituted_in,substituted_out,goals,assists,shots_total,shots_on_target,passes_total,passes_completed,pass_accuracy,tackles_total,tackles_won,tackle_success_rate,interceptions,clearances,blocks,yellow_cards,red_cards,fouls_committed,fouls_suffered,touches,rating,distance_covered,goals_per_90,assists_per_90
1,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Eduardo Camavinga,Real Madrid,1,76,Unknown,Unknown,0,0,0,0,0,0,101,91,85.0,5,3.5,70.0,1,2,3,0,0,2,2,101,8.25,10.5,0.0,0.0
2,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Marco Asensio,Real Madrid,1,79,Unknown,Unknown,0,0,0,0,7,1,98,88,85.0,0,0.0,70.0,3,0,3,0,0,3,4,67,7.01,10.5,0.0,0.0
3,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Éder Militão,Real Madrid,1,66,Unknown,Unknown,0,0,0,0,0,0,102,92,85.0,4,2.8,70.0,0,1,0,0,0,2,1,85,6.3,10.5,0.0,0.0
4,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,David Alaba,Real Madrid,1,54,Unknown,Unknown,0,0,0,0,1,1,89,79,85.0,4,2.8,70.0,4,3,3,0,0,2,3,110,6.88,10.5,0.0,0.0
5,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Andriy Lunin,Real Madrid,1,81,Unknown,Unknown,0,0,0,0,0,0,96,86,85.0,0,0.0,70.0,3,0,3,0,0,3,3,84,6.25,10.5,0.0,0.0
6,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Dani Ceballos,Real Madrid,1,88,Unknown,Unknown,0,0,0,0,0,0,38,28,85.0,5,3.5,70.0,3,0,1,0,0,0,3,52,7.93,10.5,0.0,0.0
7,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Mariano Díaz,Real Madrid,1,40,Unknown,Unknown,0,0,0,0,7,4,89,79,85.0,0,0.0,70.0,2,2,3,0,0,0,3,76,8.17,10.5,0.0,0.0
8,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Kepa Arrizabalaga,Real Madrid,1,32,Unknown,Unknown,0,0,0,0,0,0,36,26,85.0,1,0.7,70.0,2,2,3,0,0,3,0,40,6.42,10.5,0.0,0.0
9,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Thibaut Courtois,Real Madrid,1,87,Unknown,Unknown,0,0,0,0,0,0,49,39,85.0,2,1.4,70.0,0,0,3,0,0,2,3,54,6.36,10.5,0.0,0.0
10,1,2023-08-21,La Liga,Barcelona,Unknown,Unknown,Jude Bellingham,Real Madrid,1,43,Unknown,Unknown,0,0,0,0,1,1,43,33,85.0,2,1.4,70.0,4,1,2,0,0,1,0,96,6.84,10.5,0.0,0.0
