Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP, 1/3,PPA,CrsPA,PrgP,Match URL
8/18/24,La Liga,Mallorca,Kylian Mbappé,9,fr FRA,FW,25-242,90,0,0,0,0,4,2,0,0,0,40,0,0,0.3,0.3,0,0,0,25,32,78.1,5,26,5,5,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,32,78.1,341,62,16,21,76.2,7,7,100,1,1,100,0,0,0.1,0,3,0,0,5,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Vinicius Júnior,7,br BRA,LW,24-037,87,0,1,0,0,2,0,0,0,0,55,0,0,0.1,0.1,0.3,7,1,33,44,75,5,41,4,8,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,44,75,459,73,19,23,82.6,8,12,66.7,2,2,100,1,0.3,0.4,6,0,3,0,5,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Brahim Díaz,21,ma MAR,LW,25-015,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5,5,100,2,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,5,100,66,28,1,1,100,3,3,100,0,0,,0,0,0,0,1,0,0,2,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Rodrygo,11,br BRA,RW,23-222,90,1,0,0,0,3,2,0,0,0,77,1,2,0.2,0.2,0,3,0,60,69,87,4,50,5,4,2,1,1,1,0,0,1,1,100,0,2,0,2,0,1,0,0,60,69,87,762,147,38,39,97.4,19,20,95,1,6,16.7,0,0,0.1,1,5,1,0,4,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Jude Bellingham,5,eng ENG,LM,21-050,87,0,0,0,0,0,0,0,0,0,82,6,2,0,0,0.1,4,0,63,73,86.3,14,57,2,1,1,6,5,5,1,0,3,3,100,0,2,0,2,0,6,0,0,63,73,86.3,1066,346,32,34,94.1,24,26,92.3,5,8,62.5,0,0.1,0.2,2,8,3,0,14,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Arda Güler,15,tr TUR,RM,19-175,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,4,50,0,3,0,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,2,4,50,25,0,1,1,100,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Aurélien Tchouaméni,14,fr FRA,CM,24-204,62,0,0,0,0,0,0,0,0,0,63,4,0,0,0,0,1,0,57,58,98.3,4,42,0,0,0,4,2,3,1,0,1,2,50,1,0,0,0,0,4,1,0,57,58,98.3,982,229,23,24,95.8,25,25,100,6,6,100,0,0,0,0,4,0,0,4,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Luka Modrić,10,hr CRO,CM,38-344,28,0,0,0,0,2,1,0,0,0,46,0,0,0,0,0,3,0,36,44,81.8,5,33,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,36,44,81.8,607,166,16,17,94.1,15,18,83.3,3,6,50,0,0,0,0,7,0,0,5,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Federico Valverde,8,uy URU,"RM,LM",26-027,90,0,0,0,0,0,0,0,0,1,88,1,0,0,0,0,4,0,69,78,88.5,8,54,1,0,0,1,0,1,0,0,1,1,100,0,0,0,0,1,2,4,0,69,78,88.5,1037,244,33,34,97.1,31,33,93.9,2,4,50,0,0,0.1,1,8,1,0,8,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Ferland Mendy,23,fr FRA,LB,29-071,89,0,0,0,0,0,0,0,1,0,81,1,1,0,0,0,0,0,71,72,98.6,3,46,0,0,0,1,1,0,1,0,1,1,100,0,1,0,1,0,1,4,0,71,72,98.6,1040,301,47,47,100,17,17,100,6,7,85.7,0,0,0,0,5,0,0,3,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Antonio Rüdiger,22,de GER,CB,31-168,90,0,0,0,0,1,0,0,0,1,83,0,1,0,0,0,1,0,65,73,89,9,50,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,6,0,65,73,89,1056,311,26,27,96.3,34,38,89.5,3,5,60,0,0,0,0,2,0,0,9,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Éder Militão,3,br BRA,CB,26-213,90,0,0,0,0,1,0,0,0,0,67,2,0,0,0,0,0,0,58,60,96.7,5,51,1,0,0,2,2,1,1,0,2,5,40,3,0,0,0,0,2,5,0,58,60,96.7,1081,401,18,18,100,35,35,100,3,5,60,0,0,0,0,0,1,0,5,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
8/18/24,La Liga,Mallorca,Dani Carvajal,2,es ESP,RB,32-220,86,0,0,0,0,0,0,0,0,2,68,0,0,0,0,0,1,0,50,59,84.7,2,36,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,0,50,59,84.7,697,238,31,34,91.2,18,21,85.7,0,2,0,0,0,0,0,2,0,0,2,https://fbref.com/en/matches/c6b7a6e0/Mallorca-Real-Madrid-August-18-2024-La-Liga
