Player,Position,Current_Score,Predicted_Score,Score_Change,Confidence
Thibaut Courtois,Goalkeeper,30.0,30.04725456237793,0.04725456237792969,High
Andriy Lunin,Goalkeeper,21.6,21.574111938476562,-0.02588806152343892,High
Kepa Arrizabalaga,Goalkeeper,18.0,18.01736068725586,0.017360687255859375,High
Kylian Mbappé,Forward,17.6,17.638349533081055,0.038349533081053266,High
Toni Kroos,Midfield,17.07562091503268,17.088781356811523,0.01316044177884379,High
Raúl Asencio,Defense,13.1,13.085766792297363,-0.014233207702636363,High
Fran Garcia,Defense,12.6,12.592466354370117,-0.007533645629882457,High
Lucas Vázquez,Defense,9.231637426900583,9.235486030578613,0.0038486036780298605,High
Dani Carvajal,Defense,7.720000000000001,7.695441722869873,-0.024558277130127593,High
Antonio Rüdiger,Defense,7.766666666666666,7.669941425323486,-0.09672524134317939,High
Nicolás Paz,Midfield,8.001111111111111,6.750087738037109,-1.251023373074002,High
Jacobo Ramón,Defense,6.1,6.0912981033325195,-0.008701896667480113,High
Ferland Mendy,Defense,5.974688346883468,6.002743244171143,0.028054897287674407,High
Aurélien Tchouaméni,Defense,5.635656565656566,5.628349304199219,-0.0073072614573472805,High
Nacho,Defense,4.720000000000001,4.721761703491211,0.001761703491210298,High
David Alaba,Defense,4.690000000000001,4.7214436531066895,0.031443653106688174,High
Jesús Vallejo,Defense,4.038888888888889,3.9576609134674072,-0.08122797542148152,High
Éder Militão,Defense,1.5839463601532566,3.7001595497131348,2.116213189559878,Medium
Endrick,Forward,2.431754385964912,2.466270685195923,0.03451629923101107,High
Eduardo Camavinga,Defense,0.0,0.07520899176597595,0.07520899176597595,High
Jude Bellingham,Midfield,0.0,0.059399060904979706,0.059399060904979706,High
Dani Ceballos,Midfield,0.0,0.02775636315345764,0.02775636315345764,High
Gonzalo García,Forward,0.0,0.023987915366888046,0.023987915366888046,High
Joselu,Forward,0.0,-0.0020624930039048195,-0.0020624930039048195,High
Rodrygo,Forward,0.02,-0.002297317376360297,-0.022297317376360298,High
Brahim Díaz,Midfield,0.0,-0.0073471032083034515,-0.0073471032083034515,High
Luka Modrić,Midfield,0.0,-0.012303547002375126,-0.012303547002375126,High
Federico Valverde,Defense,0.0,-0.021802565082907677,-0.021802565082907677,High
Arda Güler,Midfield,0.0,-0.05193416029214859,-0.05193416029214859,High
Vinicius Júnior,Forward,0.0,-0.061923012137413025,-0.061923012137413025,High
