Player,Position_Group,Season,Avg_Performance_Score,Min
Andriy Lunin,Goalkeeper,2023-24,73.32758620689656,2640
Andriy Lunin,Goalkeeper,2024-25,81.51777777777778,810
Antonio Rüdiger,Defense,2023-24,17.03599861363475,3749
Antonio Rüdiger,Defense,2024-25,16.944442332735015,3471
Antonio Rüdiger,nan,2024-25,0.0,7
Arda Güler,Forward,2023-24,0.0,14
Arda Güler,Forward,2024-25,10.0,1
Arda Güler,Midfield,2023-24,22.540862068965517,33
Arda Güler,Midfield,2024-25,23.04556220802399,527
Arda Güler,nan,2023-24,0.0,330
Arda Güler,nan,2024-25,0.0,869
Aurélien Tchouaméni,Defense,2023-24,17.367460317460317,576
Aurélien Tchouaméni,Defense,2024-25,18.53703743787077,1216
Aurélien Tchouaméni,Midfield,2023-24,21.94585242256534,1376
Aurélien Tchouaméni,Midfield,2024-25,22.31639031173711,1100
Aurélien Tchouaméni,nan,2023-24,0.0,638
Aurélien Tchouaméni,nan,2024-25,0.0,1170
Brahim Díaz,Defense,2023-24,12.225555555555555,45
Brahim Díaz,Forward,2023-24,4.315700719264269,321
Brahim Díaz,Forward,2024-25,0.0,5
Brahim Díaz,Midfield,2023-24,19.639039710129694,580
Brahim Díaz,Midfield,2024-25,20.888181825386695,536
Brahim Díaz,nan,2023-24,0.0,922
Brahim Díaz,nan,2024-25,0.0,1326
Chema,Midfield,2024-25,10.1875,12
Dani Carvajal,Defense,2023-24,16.49312979715789,3009
Dani Carvajal,Defense,2024-25,15.904935945033511,699
Dani Carvajal,Midfield,2023-24,10.8,8
Dani Carvajal,nan,2024-25,0.0,90
Dani Ceballos,Forward,2023-24,0.0,11
Dani Ceballos,Midfield,2023-24,22.474239502410846,626
Dani Ceballos,Midfield,2024-25,26.433698285650465,1272
Dani Ceballos,nan,2023-24,0.0,113
Dani Ceballos,nan,2024-25,0.0,348
Daniel Yáñez,nan,2024-25,0.0,2
David Alaba,Defense,2023-24,16.33665919701214,1224
David Alaba,Defense,2024-25,16.461393432557227,492
David Alaba,nan,2023-24,0.0,180
Eduardo Camavinga,Defense,2023-24,19.509717643467642,262
Eduardo Camavinga,Defense,2024-25,17.701272141706923,203
Eduardo Camavinga,Midfield,2023-24,21.86470120094844,1888
Eduardo Camavinga,Midfield,2024-25,21.52253676263974,1136
Eduardo Camavinga,nan,2023-24,0.0,456
Eduardo Camavinga,nan,2024-25,0.0,259
Endrick,Forward,2024-25,5.284426560381859,401
Endrick,Midfield,2024-25,22.753333333333334,5
Endrick,nan,2024-25,0.0,98
Federico Valverde,Defense,2024-25,18.82573355986721,549
Federico Valverde,Midfield,2023-24,22.52491247246629,2667
Federico Valverde,Midfield,2024-25,21.711027969626375,1088
Federico Valverde,nan,2023-24,0.0,1304
Federico Valverde,nan,2024-25,0.0,2630
Ferland Mendy,Defense,2023-24,15.91010415782483,2592
Ferland Mendy,Defense,2024-25,16.170380372810868,1800
Ferland Mendy,nan,2024-25,0.0,90
Fran,Goalkeeper,2024-25,89.0,90
Fran Garcia,Defense,2023-24,15.511633248726493,1494
Fran Garcia,Defense,2024-25,16.529285801127905,2368
Fran Garcia,Midfield,2023-24,23.0,3
Fran Garcia,Midfield,2024-25,0.0,1
Fran Garcia,nan,2023-24,0.0,90
Fran Garcia,nan,2024-25,0.0,70
Gonzalo García,Forward,2023-24,0.0,6
Gonzalo García,Forward,2024-25,4.705882352941177,17
Gonzalo García,nan,2023-24,0.0,13
Gonzalo García,nan,2024-25,0.0,39
Jacobo Ramón,Defense,2024-25,20.37193376068376,217
Jesús Vallejo,Defense,2024-25,15.828230380730382,138
Joselu,Forward,2023-24,3.4872970910523873,1922
Joselu,nan,2023-24,0.0,47
Jude Bellingham,Forward,2023-24,6.666666666666666,74
Jude Bellingham,Midfield,2023-24,21.906564653531817,1937
Jude Bellingham,Midfield,2024-25,21.53557207337657,2436
Jude Bellingham,nan,2023-24,0.0,1293
Jude Bellingham,nan,2024-25,0.0,1183
Kepa Arrizabalaga,Goalkeeper,2023-24,74.40222222222222,1558
Kylian Mbappé,Forward,2024-25,8.481814686117854,3675
Kylian Mbappé,nan,2024-25,0.0,359
Lorenzo Aguado,Defense,2024-25,15.0,5
Lucas Vázquez,Defense,2023-24,16.642465593795997,1683
Lucas Vázquez,Defense,2024-25,15.323594472397946,2564
Lucas Vázquez,Forward,2023-24,2.5,8
Lucas Vázquez,Midfield,2023-24,25.298000000000002,24
Lucas Vázquez,Midfield,2024-25,20.60142857142857,15
Lucas Vázquez,nan,2023-24,0.0,80
Lucas Vázquez,nan,2024-25,0.0,185
Luka Modrić,Forward,2023-24,7.272727272727273,21
Luka Modrić,Midfield,2023-24,23.531848205679733,1586
Luka Modrić,Midfield,2024-25,23.81274714784903,1374
Luka Modrić,nan,2023-24,0.0,501
Luka Modrić,nan,2024-25,0.0,1100
Mario Martín,Midfield,2023-24,18.39,18
Nacho,Defense,2023-24,17.021580099367345,2546
Nacho,nan,2023-24,0.0,180
Nicolás Paz,Forward,2023-24,0.0,3
Nicolás Paz,Midfield,2023-24,26.658263736263734,58
Nicolás Paz,nan,2023-24,0.0,3
Raúl Asencio,Defense,2024-25,17.041464319625035,2228
Raúl Asencio,Midfield,2024-25,16.0,1
Raúl Asencio,nan,2024-25,0.0,190
Rodrygo,Forward,2023-24,6.223208933721539,2698
Rodrygo,Forward,2024-25,6.978404737025426,171
Rodrygo,Midfield,2024-25,20.80165964840295,412
Rodrygo,nan,2023-24,0.0,694
Rodrygo,nan,2024-25,0.0,2220
Thibaut Courtois,Goalkeeper,2023-24,79.888,422
Thibaut Courtois,Goalkeeper,2024-25,68.97380952380952,3810
Toni Kroos,Midfield,2023-24,25.856482161422147,2372
Toni Kroos,nan,2023-24,0.0,610
Vinicius Júnior,Forward,2023-24,5.704571344047815,1731
Vinicius Júnior,Forward,2024-25,5.020440907037011,1294
Vinicius Júnior,nan,2023-24,0.0,1031
Vinicius Júnior,nan,2024-25,0.0,2062
Víctor Muñoz,Midfield,2024-25,0.0,3
Víctor Muñoz,nan,2024-25,0.0,33
Álvaro Rodríguez,Forward,2023-24,10.0,1
Éder Militão,Defense,2023-24,16.67747303005381,509
Éder Militão,Defense,2024-25,17.175246015291027,1219
