Player,Position_Group,Season,Rebalanced_Score,Min,Gls,Ast
Andriy Lunin,Goalkeeper,2023-24,22.0,2640,0,0
Andriy Lunin,Goalkeeper,2024-25,24.46,810,0,0
Antonio Rüdiger,Defense,2023-24,6.87,3749,1,0
Antonio Rüdiger,Defense,2024-25,7.26,3471,2,0
Arda Güler,Forward,2023-24,0.02,14,0,0
Arda Güler,Forward,2024-25,0.0,1,0,0
Arda Güler,Midfield,2023-24,10.59,33,1,0
Arda Güler,Midfield,2024-25,9.84,527,0,0
Aurélien Tchouaméni,Defense,2023-24,8.55,576,0,0
Aurélien Tchouaméni,Defense,2024-25,8.55,1216,0,0
Aurélien Tchouaméni,Midfield,2023-24,7.36,1376,3,0
Aurélien Tchouaméni,Midfield,2024-25,8.12,1100,0,0
Brahim Díaz,Defense,2023-24,3.05,45,0,0
Brahim Díaz,Forward,2023-24,3.78,321,2,0
Brahim Díaz,Forward,2024-25,0.01,5,0,0
Brahim Díaz,Midfield,2023-24,9.32,580,3,0
Brahim Díaz,Midfield,2024-25,9.57,536,3,0
Chema,Midfield,2024-25,2.01,12,0,0
Dani Carvajal,Defense,2023-24,7.57,3009,5,0
Dani Carvajal,Defense,2024-25,7.45,699,1,0
Dani Carvajal,Midfield,2023-24,2.0,8,0,0
Dani Ceballos,Forward,2023-24,0.0,11,0,0
Dani Ceballos,Midfield,2023-24,9.12,626,1,0
Dani Ceballos,Midfield,2024-25,11.65,1272,0,0
David Alaba,Defense,2023-24,6.51,1224,0,0
David Alaba,Defense,2024-25,5.39,492,0,0
Eduardo Camavinga,Defense,2023-24,12.69,262,0,0
Eduardo Camavinga,Defense,2024-25,10.07,203,0,0
Eduardo Camavinga,Midfield,2023-24,8.15,1888,0,0
Eduardo Camavinga,Midfield,2024-25,7.88,1136,0,0
Endrick,Forward,2024-25,3.24,401,1,0
Endrick,Midfield,2024-25,4.0,5,0,0
Federico Valverde,Defense,2024-25,7.85,549,1,0
Federico Valverde,Midfield,2023-24,10.41,2667,1,0
Federico Valverde,Midfield,2024-25,9.58,1088,2,0
Ferland Mendy,Defense,2023-24,6.38,2592,0,0
Ferland Mendy,Defense,2024-25,6.5,1800,0,0
Fran,Goalkeeper,2024-25,26.7,90,0,0
Fran Garcia,Defense,2023-24,5.22,1494,1,0
Fran Garcia,Defense,2024-25,7.87,2368,0,0
Fran Garcia,Midfield,2023-24,4.0,3,0,0
Fran Garcia,Midfield,2024-25,0.0,1,0,0
Gonzalo García,Forward,2023-24,0.01,6,0,0
Gonzalo García,Forward,2024-25,2.67,17,0,0
Jacobo Ramón,Defense,2024-25,10.55,217,1,0
Jesús Vallejo,Defense,2024-25,3.98,138,0,0
Joselu,Forward,2023-24,5.59,1922,13,0
Jude Bellingham,Forward,2023-24,0.08,74,0,0
Jude Bellingham,Midfield,2023-24,11.22,1937,15,0
Jude Bellingham,Midfield,2024-25,11.62,2436,8,0
Kepa Arrizabalaga,Goalkeeper,2023-24,22.32,1558,0,0
Kylian Mbappé,Forward,2024-25,9.7,3675,31,0
Lorenzo Aguado,Defense,2024-25,4.0,5,0,0
Lucas Vázquez,Defense,2023-24,6.92,1683,3,0
Lucas Vázquez,Defense,2024-25,6.28,2564,2,0
Lucas Vázquez,Forward,2023-24,0.0,8,0,0
Lucas Vázquez,Midfield,2023-24,4.81,24,0,0
Lucas Vázquez,Midfield,2024-25,5.01,15,0,0
Luka Modrić,Forward,2023-24,5.06,21,0,0
Luka Modrić,Midfield,2023-24,11.65,1586,1,0
Luka Modrić,Midfield,2024-25,11.0,1374,1,0
Mario Martín,Midfield,2023-24,0.76,18,0,0
Nacho,Defense,2023-24,7.1,2546,0,0
Nicolás Paz,Forward,2023-24,0.0,3,0,0
Nicolás Paz,Midfield,2023-24,3.49,58,1,0
Raúl Asencio,Defense,2024-25,8.07,2228,0,0
Raúl Asencio,Midfield,2024-25,0.0,1,0,0
Rodrygo,Forward,2023-24,5.9,2698,13,0
Rodrygo,Forward,2024-25,0.98,171,0,0
Rodrygo,Midfield,2024-25,7.98,412,0,0
Thibaut Courtois,Goalkeeper,2023-24,23.97,422,0,0
Thibaut Courtois,Goalkeeper,2024-25,20.69,3810,0,0
Toni Kroos,Midfield,2023-24,13.84,2372,1,0
Vinicius Júnior,Forward,2023-24,7.33,1731,11,0
Vinicius Júnior,Forward,2024-25,4.76,1294,4,0
Víctor Muñoz,Midfield,2024-25,0.0,3,0,0
Álvaro Rodríguez,Forward,2023-24,0.0,1,0,0
Éder Militão,Defense,2023-24,6.54,509,0,0
Éder Militão,Defense,2024-25,8.17,1219,1,0
