Date,Competition,Opponent,Player,number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL,Season,Position_Group,Take-Ons Succ%,Performance_Score
2023-08-12,La Liga,Athletic Club,Vinicius Júnior,7,br BRA,FW,23-031,79,0,0,0,0,3,2,0,0,41,0,0,0,0.2,0.2,0.0,5,0,18,21,85.7,2,30,3,10,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,18,21,85.7,220,48,9,10,90.0,4,6,66.7,1,1,100.0,0,0.0,0.1,0,1,1,0,2,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Forward,30.0,4.329113924050633
2023-08-12,La Liga,Athletic Club,Luka Modrić,10,hr CRO,FW,37-337,11,0,0,0,0,1,1,0,0,23,0,0,0,0.1,0.1,0.0,0,0,19,22,86.4,3,18,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,22,86.4,345,90,13,14,92.9,2,3,66.7,4,4,100.0,0,0.0,0.2,0,4,1,0,3,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Forward,100.0,14.545454545454547
2023-08-12,La Liga,Athletic Club,Rodrygo,11,br BRA,FW,22-215,79,1,0,0,0,2,2,0,0,30,0,0,0,0.1,0.1,0.1,4,1,21,25,84.0,5,24,2,2,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,21,25,84.0,303,108,12,13,92.3,8,10,80.0,0,0,0.0,0,0.1,0.1,2,2,4,0,5,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Forward,0.0,3.291139240506329
2023-08-12,La Liga,Athletic Club,Joselu,14,es ESP,FW,33-138,11,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.1,1,0,5,7,71.4,0,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,7,71.4,59,2,2,3,66.7,2,3,66.7,0,0,0.0,0,0.1,0.1,1,0,0,0,0,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Forward,0.0,0.0
2023-08-12,La Liga,Athletic Club,Jude Bellingham,5,eng ENG,AM,20-044,90,1,0,0,0,2,1,0,0,66,3,2,4,0.2,0.2,0.1,3,1,40,50,80.0,6,39,4,4,3,3,2,1,2,0,1,2,50.0,1,4,0,4,2,5,1,0,40,50,80.0,557,129,23,28,82.1,15,18,83.3,0,2,0.0,0,0.1,0.0,1,4,2,0,6,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Midfield,75.0,50.0
2023-08-12,La Liga,Athletic Club,Eduardo Camavinga,12,fr FRA,LM,20-275,70,0,0,0,0,0,0,0,0,68,4,1,0,0.0,0.0,0.2,4,0,50,56,89.3,5,53,3,2,1,4,3,1,2,1,3,3,100.0,0,0,0,0,1,5,1,0,50,56,89.3,931,214,19,20,95.0,25,26,96.2,5,8,62.5,0,0.2,0.2,1,3,1,1,5,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Midfield,50.0,50.0
2023-08-12,La Liga,Athletic Club,Toni Kroos,8,de GER,LM,33-220,20,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,32,0,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,1,30,32,93.8,398,132,18,20,90.0,10,10,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Midfield,0.0,50.0
2023-08-12,La Liga,Athletic Club,Federico Valverde,15,uy URU,RM,25-021,90,0,0,0,0,2,0,0,0,63,2,2,1,0.0,0.0,0.0,1,0,42,51,82.4,6,50,2,0,0,2,1,0,2,0,1,1,100.0,0,1,0,1,2,4,1,0,42,51,82.4,597,144,27,29,93.1,12,15,80.0,2,5,40.0,0,0.0,0.0,0,5,0,0,6,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Midfield,0.0,50.0
2023-08-12,La Liga,Athletic Club,Aurélien Tchouaméni,18,fr FRA,DM,23-197,90,0,0,0,0,0,0,0,0,67,3,1,2,0.0,0.0,0.0,1,0,52,55,94.5,11,46,0,0,0,3,1,0,3,0,1,1,100.0,0,2,2,0,1,4,4,0,52,55,94.5,1027,326,19,19,100.0,24,26,92.3,8,8,100.0,0,0.0,0.0,0,2,0,0,11,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Midfield,0.0,50.0
2023-08-12,La Liga,Athletic Club,Fran Garcia,20,es ESP,LB,23-363,90,0,0,0,0,1,0,0,0,94,6,1,2,0.1,0.1,0.0,1,0,60,75,80.0,4,56,4,0,0,6,4,4,2,0,3,5,60.0,2,2,0,2,1,7,2,0,60,75,80.0,846,314,38,39,97.4,18,22,81.8,2,8,25.0,0,0.0,0.0,0,4,0,0,4,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Defense,0.0,50.0
2023-08-12,La Liga,Athletic Club,David Alaba,4,at AUT,CB,31-049,90,0,1,0,0,3,2,1,0,95,1,0,1,0.2,0.2,0.2,4,1,77,87,88.5,3,64,0,0,0,1,1,0,1,0,0,0,,0,1,1,0,0,1,5,0,77,87,88.5,1301,677,43,45,95.6,26,28,92.9,7,13,53.8,1,0.2,0.0,3,7,1,0,3,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023-24,Defense,0.0,50.0
