id,team_name,team_url,league,season,scraped_at
21,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats,Premier League,2023-24,2025-07-10 03:53:56
22,Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats,Premier League,2023-24,2025-07-10 03:53:56
23,Bournemouth,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats,Premier League,2023-24,2025-07-10 03:53:56
24,Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats,Premier League,2023-24,2025-07-10 03:53:56
25,Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,Premier League,2023-24,2025-07-10 03:53:56
26,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,Premier League,2023-24,2025-07-10 03:53:56
27,Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats,Premier League,2023-24,2025-07-10 03:53:56
28,Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats,Premier League,2023-24,2025-07-10 03:53:56
29,Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats,Premier League,2023-24,2025-07-10 03:53:56
30,Ipswich Town,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats,Premier League,2023-24,2025-07-10 03:53:56
31,Leicester City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats,Premier League,2023-24,2025-07-10 03:53:56
32,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats,Premier League,2023-24,2025-07-10 03:53:56
33,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,Premier League,2023-24,2025-07-10 03:53:56
34,Manchester Utd,https://fbref.com/en/squads/19538871/Manchester-United-Stats,Premier League,2023-24,2025-07-10 03:53:56
35,Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,Premier League,2023-24,2025-07-10 03:53:56
36,Nott'ham Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats,Premier League,2023-24,2025-07-10 03:53:56
37,Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats,Premier League,2023-24,2025-07-10 03:53:56
38,Tottenham,https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,Premier League,2023-24,2025-07-10 03:53:56
39,West Ham,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats,Premier League,2023-24,2025-07-10 03:53:56
40,Wolves,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,Premier League,2023-24,2025-07-10 03:53:56
