player_id,player_name,common_name,jersey_number,position_id,height,weight,date_of_birth,nationality_id,country_id
105,Scott Carson,S. Carson,33,24,188.0,85.0,1985-09-03,462,462
37581761,Mahamadou Susoho,M. Susoho,76,26,,,,32,32
30467945,Micah Hamilton,M. Hamilton,92,27,,,2003-11-13,462,462
34594,Stefan Ortega Moreno,S. Ortega Moreno,18,24,185.0,88.0,1992-11-06,11,11
30446925,Issa Kabore,I. Kabore,78,25,180.0,,2001-05-12,607,607
336133,Philip Foden,P. Foden,47,26,171.0,70.0,2000-05-28,462,462
73147,Mateo Kovačić,M. Kovačić,8,26,177.0,78.0,1994-05-06,266,143
23697990,Jeremy Doku,J. Doku,11,27,173.0,,2002-05-27,556,556
1371,Kevin De Bruyne,K. De Bruyne,17,26,181.0,68.0,1991-06-28,556,556
154421,Erling Håland,E. Haaland,9,27,195.0,87.0,2000-07-21,1578,462
96353,Bernardo Mota Veiga de Carvalho e Silva,B. Silva,20,26,173.0,64.0,1994-08-10,20,20
24838191,Joško Gvardiol,J. Gvardiol,24,25,185.0,,2002-01-23,266,266
28912747,Cole Palmer,C. Palmer,80,26,185.0,,2002-05-06,462,462
186299,Aymeric Laporte,A. Laporte,14,25,191.0,86.0,1994-05-27,32,17
28575676,James Mcatee,J. Mcatee,87,26,180.0,,2002-10-18,462,462
37545384,Maximo Perrone,M. Perrone,32,26,177.0,,2003-01-07,44,44
3354,Kalvin Phillips,K. Phillips,4,26,179.0,72.0,1995-12-02,462,462
24838234,Josh Wilson-Esbrand,J. Wilson-Esbrand,97,25,176.0,,2002-12-26,462,462
4536537,Sergio Gómez Martín,S. Gómez,21,26,171.0,,2000-09-04,32,32
21394947,Julián Álvarez,J. Álvarez,19,27,170.0,68.0,2000-01-31,44,44
37459073,Rico Lewis,R. Lewis,82,25,170.0,,2004-11-21,462,462
198062,Manuel Obafemi Akanji,M. Akanji,25,25,188.0,91.0,1995-07-19,62,62
1116,Jack Grealish,J. Grealish,10,26,180.0,68.0,1995-09-10,462,462
162536,Rúben Santos Gato Alves Dias,R. Santos Gato Alves Dias,3,25,187.0,70.0,1997-05-14,20,20
37286732,Oscar Bobb,O. Bobb,52,26,175.0,,2003-07-12,1578,1578
37612626,Jacob Wright,J. Wright,56,26,178.0,,2005-09-21,462,462
21781428,Matheus Luiz Nunes,M. Nunes,27,26,183.0,78.0,1998-08-27,20,5
982,John Stones,J. Stones,5,25,188.0,70.0,1994-05-28,462,462
159142,Ederson Santana de Moraes,E. Santana de Moraes,31,24,188.0,86.0,1993-08-17,5,5
1869,Nathan Aké,N. Aké,6,25,180.0,75.0,1995-02-18,38,38
186910,Rodrigo Hernández Cascante,Rodri,16,26,191.0,82.0,1996-06-22,32,32
911,Kyle Walker,K. Walker,2,25,183.0,70.0,1990-05-28,462,462
