match_id,player_id,player_name,jersey_number,position,match_date,competition,opponent,home_away,result,played,started,minutes_played,goals,assists,shots,shots_on_target,passes,passes_completed,pass_accuracy,tackles,interceptions,clearances,yellow_cards,red_cards,fouls_committed,fouls_suffered,saves,goals_conceded,clean_sheet,rating,player_of_match
1,105,Scott Carson,33,Goalkeeper,2023-08-12,Premier League,Burnley,Away,Win,True,True,63,0,0,0,0,23,20,87.0,1,1,2,0,0,0,4,0,0,True,5.87,False
1,37581761,Mahamadou Susoho,76,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,90,1,0,2,1,87,74,85.1,5,0,1,0,0,0,1,0,0,False,6.37,False
1,30467945,Micah Hamilton,92,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,74,0,1,3,1,94,77,81.9,0,0,2,0,0,2,4,0,0,False,6.44,False
1,34594,Stefan Ortega Moreno,18,Goalkeeper,2023-08-12,Premier League,Burnley,Away,Win,False,False,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,False,0.0,False
1,30446925,Issa Kabore,78,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,87,0,0,1,0,35,28,80.0,3,2,5,0,0,0,1,0,0,False,5.74,False
1,336133,Philip Foden,47,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,81,0,0,0,0,50,39,78.0,1,3,0,0,0,1,2,0,0,False,5.9,False
1,73147,Mateo Kovačić,8,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,65,0,0,0,0,93,73,78.5,3,3,0,0,0,1,3,0,0,False,5.96,False
1,23697990,Jeremy Doku,11,Forward,2023-08-12,Premier League,Burnley,Away,Win,False,False,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,False,0.0,False
1,1371,Kevin De Bruyne,17,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,False,42,0,0,2,0,51,45,88.2,5,2,0,0,0,2,1,0,0,False,5.73,False
1,154421,Erling Håland,9,Forward,2023-08-12,Premier League,Burnley,Away,Win,True,True,73,0,0,6,5,42,38,90.5,0,4,1,0,0,2,0,0,0,False,6.37,False
1,96353,Bernardo Mota Veiga de Carvalho e Silva,20,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,79,0,1,3,0,71,54,76.1,5,1,2,0,0,0,2,0,0,False,5.93,False
1,24838191,Joško Gvardiol,24,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,79,0,0,2,0,60,45,75.0,1,4,7,0,0,2,4,0,0,False,6.22,False
1,28912747,Cole Palmer,80,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,81,0,0,0,0,69,64,92.8,3,0,0,0,0,1,1,0,0,False,6.29,False
1,186299,Aymeric Laporte,14,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,61,0,0,2,1,41,36,87.8,4,4,4,0,0,0,3,0,0,False,6.35,False
1,28575676,James Mcatee,87,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,89,0,0,3,1,62,58,93.5,5,1,1,0,0,2,4,0,0,False,6.18,False
1,37545384,Maximo Perrone,32,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,81,0,0,1,1,86,70,81.4,5,1,2,0,0,2,0,0,0,False,6.13,False
1,3354,Kalvin Phillips,4,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,False,False,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,False,0.0,False
1,24838234,Josh Wilson-Esbrand,97,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,73,0,0,0,0,70,60,85.7,3,2,0,0,0,2,1,0,0,False,5.59,False
1,4536537,Sergio Gómez Martín,21,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,83,0,0,3,0,84,69,82.1,2,2,1,0,0,0,2,0,0,False,6.28,False
1,21394947,Julián Álvarez,19,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,87,0,2,2,2,74,70,94.6,4,1,0,0,1,2,2,0,0,False,5.27,False
1,37459073,Rico Lewis,82,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,77,0,0,2,2,74,61,82.4,6,2,4,0,0,0,2,0,0,False,6.48,False
1,198062,Manuel Obafemi Akanji,25,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,88,0,0,0,0,42,33,78.6,7,0,3,0,0,1,3,0,0,False,5.51,False
1,1116,Jack Grealish,10,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,70,0,0,0,0,63,59,93.7,2,0,0,0,0,1,4,0,0,False,6.17,False
1,162536,Rúben Santos Gato Alves Dias,3,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,81,0,0,1,0,73,68,93.2,5,1,5,0,0,2,0,0,0,False,6.23,False
1,37286732,Oscar Bobb,52,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,80,0,0,3,2,96,82,85.4,2,4,2,0,0,1,3,0,0,False,6.26,False
1,37612626,Jacob Wright,56,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,83,0,0,0,0,40,35,87.5,0,3,1,0,0,0,4,0,0,False,6.13,False
1,21781428,Matheus Luiz Nunes,27,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,False,False,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,False,0.0,False
1,982,John Stones,5,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,78,0,0,1,1,60,48,80.0,0,4,2,0,0,2,0,0,0,False,5.56,False
1,159142,Ederson Santana de Moraes,31,Goalkeeper,2023-08-12,Premier League,Burnley,Away,Win,False,False,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,False,0.0,False
1,1869,Nathan Aké,6,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,82,0,0,3,0,41,31,75.6,3,0,3,0,0,3,0,0,0,False,6.2,False
1,186910,Rodrigo Hernández Cascante,16,Midfielder,2023-08-12,Premier League,Burnley,Away,Win,True,True,70,2,0,1,0,97,88,90.7,4,1,2,0,0,3,4,0,0,False,7.19,False
1,911,Kyle Walker,2,Defender,2023-08-12,Premier League,Burnley,Away,Win,True,True,79,0,0,2,2,48,45,93.8,7,2,1,0,0,0,0,0,0,False,5.8,False
