match_id,season,match_date,competition,matchday,home_away,opponent,manchester_city_score,opponent_score,result,possession_percentage,shots_total,shots_on_target,shots_off_target,corners,fouls_committed,fouls_suffered,yellow_cards,red_cards,passes_total,passes_completed,pass_accuracy,tackles_total,tackles_won,interceptions,clearances,blocks,attendance,venue,referee,goal_difference,points
1,2023-24,2023-08-21,La Liga,1,Home,Barcelona,0,1,Loss,58,8,6,2,11,14,8,3,0,428,359,84,21,15,15,25,7,79003,Santiago Bernabéu,Referee 2,-1,0
2,2023-24,2023-12-31,La Liga,20,Away,Barcelona,0,1,Loss,46,18,4,14,6,18,14,4,0,601,552,92,16,11,5,16,4,79624,Barcelona Stadium,Referee 22,-1,0
3,2023-24,2023-08-26,La Liga,2,Home,Atlético Madrid,2,2,Draw,73,20,3,17,2,15,18,4,0,613,539,88,10,6,6,25,8,78323,Santiago Bernabéu,Referee 23,0,1
4,2023-24,2024-01-06,La Liga,21,Away,Atlético Madrid,1,2,Loss,57,17,7,10,5,13,9,1,0,687,604,88,12,8,7,11,2,36092,Atlético Madrid Stadium,Referee 3,-1,0
5,2023-24,2023-09-02,La Liga,3,Home,Athletic Bilbao,3,2,Win,64,10,3,7,9,8,13,0,0,442,366,83,15,10,10,23,4,76319,Santiago Bernabéu,Referee 17,1,3
6,2023-24,2024-01-16,La Liga,22,Away,Athletic Bilbao,0,0,Draw,55,13,5,8,9,16,9,0,0,416,345,83,12,7,14,23,4,42834,Athletic Bilbao Stadium,Referee 22,0,1
7,2023-24,2023-09-10,La Liga,4,Home,Real Sociedad,2,0,Win,75,9,8,1,2,11,17,2,0,485,407,84,16,11,5,17,7,78584,Santiago Bernabéu,Referee 43,2,3
8,2023-24,2024-01-23,La Liga,23,Away,Real Sociedad,3,2,Win,67,16,8,8,3,15,14,0,0,609,505,83,10,7,6,24,4,44395,Real Sociedad Stadium,Referee 29,1,3
9,2023-24,2023-09-18,La Liga,5,Home,Real Betis,2,0,Win,72,11,7,4,10,15,11,4,0,696,598,86,15,11,13,19,8,77111,Santiago Bernabéu,Referee 50,2,3
10,2023-24,2024-01-28,La Liga,24,Away,Real Betis,2,0,Win,66,8,4,4,10,16,9,3,0,615,522,85,20,12,14,20,3,50961,Real Betis Stadium,Referee 47,2,3
11,2023-24,2023-09-23,La Liga,6,Home,Villarreal,1,3,Loss,50,8,5,3,11,8,14,3,0,495,415,84,11,8,15,14,6,80669,Santiago Bernabéu,Referee 22,-2,0
12,2023-24,2024-02-04,La Liga,25,Away,Villarreal,1,0,Win,64,11,7,4,8,17,11,1,0,463,425,92,18,13,12,8,4,39056,Villarreal Stadium,Referee 9,1,3
13,2023-24,2023-10-01,La Liga,7,Home,Valencia,3,2,Win,70,11,6,5,10,16,13,1,0,484,430,89,16,11,7,20,3,76544,Santiago Bernabéu,Referee 42,1,3
14,2023-24,2024-02-11,La Liga,26,Away,Valencia,3,1,Win,62,13,5,8,7,14,14,1,0,424,385,91,10,7,7,13,6,78860,Valencia Stadium,Referee 41,2,3
15,2023-24,2023-10-08,La Liga,8,Home,Sevilla,4,1,Win,74,19,8,11,12,9,18,3,0,477,410,86,17,11,11,18,5,70220,Santiago Bernabéu,Referee 21,3,3
16,2023-24,2024-02-20,La Liga,27,Away,Sevilla,3,2,Win,57,15,4,11,4,10,9,3,0,603,542,90,12,7,10,13,5,79704,Sevilla Stadium,Referee 30,1,3
17,2023-24,2023-10-14,La Liga,9,Home,Getafe,3,0,Win,68,11,3,8,12,17,18,2,0,541,459,85,16,11,5,20,2,78865,Santiago Bernabéu,Referee 33,3,3
18,2023-24,2024-02-24,La Liga,28,Away,Getafe,2,2,Draw,58,8,7,1,7,15,18,4,0,578,514,89,12,8,6,10,6,54644,Getafe Stadium,Referee 32,0,1
19,2023-24,2023-10-21,La Liga,10,Home,Osasuna,1,0,Win,56,9,3,6,12,18,9,3,0,518,445,86,23,17,14,25,2,79188,Santiago Bernabéu,Referee 1,1,3
